Tests performed 100 times for each TestData + Serializer pair
################################################################################

Test Data: Person
Serializer:               Ops/sec Avg:  Ser      Deser   Ser+Deser  Size: Avg
===============================================================================
NetSerializer         Stream        374,194    401,201    192,186        617
MessageShark          Stream        335,958    426,573    186,899        612
MS Bond Fast          string        388,683    274,907    159,877      1,056
MS Bond Fast          Stream        311,629    305,770    152,275        790
MS Bond Compact       string        324,850    261,182    143,305        852
MessageShark          string        301,311    264,029    140,109        816
NetSerializer         string        312,798    254,145    139,692        824
MS Bond Compact       Stream        256,547    293,183    134,510        638
NetJSON               string        317,450    210,867    125,854      1,140
ProtoBuf              Stream        304,805    188,557    115,662        657
WireSerializer        Stream        193,820    221,708    102,948      1,140
ProtoBuf              string        270,192    156,469     98,569        876
Jil                   string        147,871    201,797     84,732      1,159
Jil                   Stream        149,692    167,099     78,357      1,159
MS Bond Json          string        194,278    128,470     76,673      1,130
WireSerializer        string        168,155    139,162     75,603      1,520
MS Bond Json          Stream        188,394    124,601     74,624      1,130
MsgPack               Stream        211,280    103,064     68,847        597
MsgPack               string        194,992     94,559     63,373        796
Json.Net              string        144,373    112,632     63,249      1,164
Json.Net              Stream        132,617    107,471     59,309      1,164
HaveBoxJSON           string        166,140     80,370     54,031      1,167
ServiceStack Type     string        127,813     88,862     52,116      1,016
HaveBoxJSON           Stream        144,449     78,019     50,460      1,167
ServiceStack Type     Stream        121,013     84,511     49,496      1,016
ServiceStack Json     string        121,513     79,532     47,695      1,159
Json.Net (Helper)     string        104,442     85,967     47,002      1,164
MS DataContract       Stream        133,539     72,540     46,820      2,144
FsPickler             string         84,287    105,238     46,638      1,180
Json.Net (Helper)     Stream         97,105     80,469     43,901      1,164
ServiceStack Json     Stream        103,887     75,921     43,715      1,159
MS DataContract       string        112,796     55,160     36,877      2,860
fastJson              string         89,781     59,496     35,599      1,817
MS DataContract Json  Stream        117,146     48,981     34,403      1,154
FsPicklerJson         string         72,391     63,783     33,846      1,944
MS XmlSerializer      string         89,656     53,071     33,223      2,763
fastJson              Stream         81,213     56,229     33,022      1,817
MS XmlSerializer      Stream         85,815     50,125     31,525      2,745
MS DataContract Json  string        103,982     44,285     30,840      1,540
MS Binary             Stream         51,199     57,861     26,970      1,872
MS Binary             string         51,069     48,683     24,833      2,496
NFX.Slim              Stream         13,199    108,822     11,766        857
NFX.Slim              string         12,846     87,692     11,195      1,144
MS JavaScript         string         13,643     31,301      9,476      1,154
MS JavaScript         Stream         13,598     30,684      9,401      1,154
JsonFx                Stream         52,396      1,017        997      1,160
JsonFx                string         53,701      1,009        989      1,160


Test Data: Integer
Serializer:               Ops/sec Avg:  Ser      Deser   Ser+Deser  Size: Avg
===============================================================================
NetSerializer         Stream      3,883,959  7,611,333  2,466,021          6
MS Bond Fast          string      3,770,603  7,502,590  2,344,655          4
Json.Net              string      3,538,720  3,945,406  1,813,005         10
NetSerializer         string      2,857,052  4,427,609  1,689,485          8
ServiceStack Type     string      4,942,039  2,271,734  1,512,061         10
WireSerializer        string      2,232,130  3,846,954  1,361,814          8
NetJSON               string      2,229,134  2,533,249  1,154,782         10
WireSerializer        Stream      1,498,219  6,060,088  1,123,851          5
fastJson              string      2,297,111  2,327,250  1,115,927         10
Salar.Bois            string      2,110,952  2,406,669  1,096,285          4
ServiceStack Json     string      2,003,129  1,997,327    976,476         10
MsgPack               string      2,016,432  1,633,282    876,814          8
Json.Net              Stream      1,230,557  2,538,159    776,553         10
ServiceStack Type     Stream      1,474,230  1,767,937    742,469         10
MS Bond Compact       string        842,385  6,167,373    713,695          4
MsgPack               Stream      1,164,574  2,063,342    699,638          5
MS JavaScript         string      2,547,703    774,738    576,737         10
Jil                   string        742,668  1,947,991    529,629         10
ServiceStack Json     Stream        814,156  1,149,524    452,724         10
fastJson              Stream        823,184    948,555    422,542         10
JsonFx                string      1,040,544    638,622    389,311         10
Jil                   Stream        718,167    820,341    361,428         10
Json.Net (Helper)     string        958,365    514,780    326,807         10
MS JavaScript         Stream        659,561    659,724    314,173         10
MS DataContract Json  string        739,490    468,494    280,977         16
JsonFx                Stream        568,441    565,186    275,437         10
MS DataContract Json  Stream        726,650    465,695    259,225         10
Json.Net (Helper)     Stream        515,611    466,926    238,571         10
MS DataContract       Stream        650,846    366,385    224,259         81
MS DataContract       string        601,502    319,654    205,230        108
NFX.Json              string      1,166,883    228,048    183,478         10
MS XmlSerializer      Stream        334,204    291,214    152,664         44
ProtoBuf              string        191,786    846,412    151,003          8
ProtoBuf              Stream        172,704  1,204,229    150,209          6
SharpSerializer       Stream        934,441    180,946    149,989        103
MS Binary             string        269,827    323,082    144,780         72
SharpSerializer       string        870,995    173,808    143,760        140
MS XmlSerializer      string        396,378    207,338    132,440         62
FsPickler             string        204,709    350,012    126,204        140
MS Binary             Stream        235,839    314,606    124,990         54
FsPicklerJson         string        213,858    219,638    106,562        340
NFX.Slim              string         15,132    287,013     14,357         24
NFX.Slim              Stream         14,766    290,592     14,027         17



Test Data: String Array
Serializer:               Ops/sec Avg:  Ser      Deser   Ser+Deser  Size: Avg
===============================================================================
ServiceStack Type     string        700,860    712,397    346,995        134
NetJSON               string        592,377    826,255    340,658        175
NetSerializer         Stream        472,137    993,343    317,110        156
WireSerializer        Stream        408,210    949,647    283,988        139
ServiceStack Type     Stream        592,392    546,567    278,223        135
fastJson              string        426,789    832,623    270,875        175
ServiceStack Json     string        514,060    541,315    260,114        175
NetSerializer         string        419,788    645,152    250,800        210
WireSerializer        string        364,819    681,832    234,839        187
Json.Net              string        447,906    504,175    232,923        173
MsgPack               Stream        404,991    524,967    225,452        137
fastJson              Stream        339,665    635,306    217,854        174
Jil                   string        320,493    723,062    217,440        174
Json.Net              Stream        377,960    450,934    203,389        175
MsgPack               string        360,753    443,650    196,054        185
Jil                   Stream        321,112    496,659    189,930        174
ServiceStack Json     Stream        385,223    360,294    182,840        175
MS JavaScript         string        358,253    317,481    166,387        173
Json.Net (Helper)     string        243,511    313,966    135,280        175
MS JavaScript         Stream        265,942    249,758    127,634        174
HaveBoxJSON           string        424,889    164,375    117,336        174
MS DataContract Json  Stream        297,792    184,580    112,761        173
Json.Net (Helper)     Stream        206,480    249,059    112,083        175
HaveBoxJSON           Stream        351,413    148,847    103,455        176
MS DataContract Json  string        255,999    169,267    100,719        234
MS DataContract       Stream        231,121    170,245     97,172        604
MS Binary             Stream        148,873    280,018     95,780        257
MS Binary             string        143,567    222,202     86,103        343
MS DataContract       string        221,686    131,532     81,974        806
FsPickler             string        136,430    181,469     77,077        369
FsPicklerJson         string        138,898    155,652     73,030        604
MS XmlSerializer      string        152,606     99,345     59,764        706
MS XmlSerializer      Stream        154,151     97,694     59,436        688
ProtoBuf              Stream         58,937     59,668     29,526        153
ProtoBuf              string         59,199     58,805     29,405        208
NFX.Slim              Stream         14,563    243,560     13,726        168
NFX.Slim              string         14,580    211,970     13,627        225
JsonFx                string        214,970      1,356      1,347        173
JsonFx                Stream        200,572      1,336      1,327        174



Test Data: Simple Object
Serializer:               Ops/sec Avg:  Ser      Deser   Ser+Deser  Size: Avg
===============================================================================
NetSerializer         Stream        888,540  1,116,754    489,110        112
MS Bond Fast          string        979,526    918,654    462,500        192
WireSerializer        Stream        978,090    890,642    456,111        207
WireSerializer        string        795,906    610,021    338,877        276
NetSerializer         string        788,134    533,398    309,154        152
ProtoBuf              Stream        603,914    584,086    291,017        123
MS Bond Compact       string        461,167    730,541    275,705        164
ProtoBuf              string        575,034    501,500    265,128        164
NetJSON               string        436,883    421,919    211,814        282
MsgPack               Stream        442,007    367,709    199,207        112
Json.Net              Stream        448,257    357,966    198,180        290
Json.Net              string        488,036    323,687    192,722        290
