Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,StreamMode,RunOrder,SchedulePosition
c,bytes,document,100,0,yyjson,0.10.0,12078,8743,460,20821,82795.164762,114377.216059,48028.432832,0,1.0,1,c4a54cdecc67,,0,0
c,bytes,document,100,0,parson,1.5.3,27944,13472,460,41416,35785.857429,74228.028504,24145.257871,0,1.0,1,c4a54cdecc67,,1,1
c,bytes,document,100,0,jansson,2.14,14019,12823,460,26842,71331.764035,77984.870935,37255.048059,0,1.0,1,c4a54cdecc67,,2,2
c,bytes,document,100,0,json-c,0.15,27720,26510,460,54230,36075.036075,37721.614485,18439.977872,0,1.0,1,c4a54cdecc67,,3,3
c,bytes,document,100,0,flatcc,0.6.1,21987,637,236,22624,45481.420840,1569858.712716,44200.848656,0,1.0,1,c4a54cdecc67,,4,4
c,bytes,document,100,0,ubj,1.0-min,817,617,244,1434,1223990.208078,1620745.542950,697350.069735,0,1.0,1,c4a54cdecc67,,5,5
c,bytes,document,100,0,mpack,1.1,2244,5520,335,7764,445632.798574,181159.420290,128799.587841,0,1.0,1,c4a54cdecc67,,6,6
c,bytes,document,100,0,avro-c,1.11.3,5172,1804,210,6976,193348.801237,554323.725055,143348.623853,0,1.0,1,c4a54cdecc67,,7,7
c,bytes,document,100,0,protobuf-c,1.5.0,1266,1123,166,2389,789889.415482,890471.950134,418585.182085,0,1.0,1,c4a54cdecc67,,8,8
c,bytes,document,100,0,cJSON,1.7.18,10955,8370,460,19325,91282.519398,119474.313023,51746.442432,0,1.0,1,c4a54cdecc67,,9,9
c,bytes,document,100,0,nanopb,0.4.9,1241,1313,166,2554,805801.772764,761614.623001,391542.678152,0,1.0,1,c4a54cdecc67,,10,10
c,bytes,document,100,0,libbson,1.27.5,14905,6474,577,21379,67091.580007,154464.009886,46774.872538,0,1.0,1,c4a54cdecc67,,11,11
c,bytes,document,100,0,zcbor,0.9,3064,13389,354,16453,326370.757180,74688.176862,60779.189206,0,1.0,1,c4a54cdecc67,,12,12
c,bytes,document,100,0,msgpack-c,6.0.1,1597,4598,335,6195,626174.076393,217485.863419,161420.500404,0,1.0,1,c4a54cdecc67,,13,13
c,bytes,document,100,0,protobuf-wire,wire-v2,1098,1195,166,2293,910746.812386,836820.083682,436109.899695,0,1.0,1,c4a54cdecc67,,14,14
c,bytes,document,100,0,custom-binary,v2-1.0,415,478,207,893,2409638.554217,2092050.209205,1119820.828667,0,1.0,1,c4a54cdecc67,,15,15
c,bytes,document,100,0,qcbor,1.5.1,4528,8806,343,13334,220848.056537,113558.937088,74996.250187,0,1.0,1,c4a54cdecc67,,16,16
c,bytes,document,100,0,tinycbor,0.6.0,1771,7778,343,9549,564652.738566,128567.755207,104723.007645,0,1.0,1,c4a54cdecc67,,17,17
c,bytes,document,100,0,cbor-encode,0.11.0,10910,8199,457,19109,91659.028414,121966.093426,52331.362185,0,1.0,1,c4a54cdecc67,,18,18
c,bytes,document,100,1,json-c,0.15,9821,14925,460,24746,101822.624987,67001.675042,40410.571405,0,1.0,1,c4a54cdecc67,,19,0
c,bytes,document,100,1,parson,1.5.3,21254,9586,460,30840,47049.967065,104318.798247,32425.421530,0,1.0,1,c4a54cdecc67,,20,1
c,bytes,document,100,1,tinycbor,0.6.0,1218,8241,343,9459,821018.062397,121344.497027,105719.420658,0,1.0,1,c4a54cdecc67,,21,2
c,bytes,document,100,1,protobuf-wire,wire-v2,506,631,166,1137,1976284.584980,1584786.053883,879507.475814,0,1.0,1,c4a54cdecc67,,22,3
c,bytes,document,100,1,flatcc,0.6.1,1040,298,236,1338,961538.461538,3355704.697987,747384.155456,0,1.0,1,c4a54cdecc67,,23,4
c,bytes,document,100,1,ubj,1.0-min,279,389,244,668,3584229.390681,2570694.087404,1497005.988024,0,1.0,1,c4a54cdecc67,,24,5
c,bytes,document,100,1,libbson,1.27.5,5092,4169,577,9261,196386.488610,239865.675222,107979.699816,0,1.0,1,c4a54cdecc67,,25,6
c,bytes,document,100,1,qcbor,1.5.1,3384,8022,343,11406,295508.274232,124657.192720,87673.154480,0,1.0,1,c4a54cdecc67,,26,7
c,bytes,document,100,1,avro-c,1.11.3,1110,985,210,2095,900900.900901,1015228.426396,477326.968974,0,1.0,1,c4a54cdecc67,,27,8
c,bytes,document,100,1,msgpack-c,6.0.1,1285,5624,335,6909,778210.116732,177809.388336,144738.746562,0,1.0,1,c4a54cdecc67,,28,9
c,bytes,document,100,1,cbor-encode,0.11.0,14189,8389,457,22578,70477.130171,119203.719156,44290.902649,0,1.0,1,c4a54cdecc67,,29,10
c,bytes,document,100,1,cJSON,1.7.18,7727,6684,460,14411,129416.332341,149611.011370,69391.437097,0,1.0,1,c4a54cdecc67,,30,11
c,bytes,document,100,1,jansson,2.14,12867,13379,460,26246,77718.193829,74744.001794,38101.043969,0,1.0,1,c4a54cdecc67,,31,12
c,bytes,document,100,1,yyjson,0.10.0,6386,2982,460,9368,156592.546195,335345.405768,106746.370623,0,1.0,1,c4a54cdecc67,,32,13
c,bytes,document,100,1,zcbor,0.9,2128,10966,354,13094,469924.812030,91190.953857,76370.856881,0,1.0,1,c4a54cdecc67,,33,14
c,bytes,document,100,1,protobuf-c,1.5.0,593,767,166,1360,1686340.640809,1303780.964798,735294.117647,0,1.0,1,c4a54cdecc67,,34,15
c,bytes,document,100,1,nanopb,0.4.9,624,719,166,1343,1602564.102564,1390820.584145,744601.638124,0,1.0,1,c4a54cdecc67,,35,16
c,bytes,document,100,1,mpack,1.1,1036,2484,335,3520,965250.965251,402576.489533,284090.909091,0,1.0,1,c4a54cdecc67,,36,17
c,bytes,document,100,1,custom-binary,v2-1.0,166,296,207,462,6024096.385542,3378378.378378,2164502.164502,0,1.0,1,c4a54cdecc67,,37,18
c,bytes,document,100,2,mpack,1.1,653,1449,335,2102,1531393.568147,690131.124914,475737.392959,0,1.0,1,c4a54cdecc67,,38,0
c,bytes,document,100,2,custom-binary,v2-1.0,119,247,207,366,8403361.344538,4048582.995951,2732240.437158,0,1.0,1,c4a54cdecc67,,39,1
c,bytes,document,100,2,avro-c,1.11.3,1138,904,210,2042,878734.622144,1106194.690265,489715.964740,0,1.0,1,c4a54cdecc67,,40,2
c,bytes,document,100,2,nanopb,0.4.9,453,516,166,969,2207505.518764,1937984.496124,1031991.744066,0,1.0,1,c4a54cdecc67,,41,3
c,bytes,document,100,2,protobuf-wire,wire-v2,517,657,166,1174,1934235.976789,1522070.015221,851788.756388,0,1.0,1,c4a54cdecc67,,42,4
c,bytes,document,100,2,protobuf-c,1.5.0,447,569,166,1016,2237136.465324,1757469.244288,984251.968504,0,1.0,1,c4a54cdecc67,,43,5
c,bytes,document,100,2,json-c,0.15,12392,14381,460,26773,80697.224015,69536.193589,37351.062638,0,1.0,1,c4a54cdecc67,,44,6
c,bytes,document,100,2,yyjson,0.10.0,3811,2303,460,6114,262398.320651,434216.239687,163559.044815,0,1.0,1,c4a54cdecc67,,45,7
c,bytes,document,100,2,zcbor,0.9,1764,10496,354,12260,566893.424036,95274.390244,81566.068515,0,1.0,1,c4a54cdecc67,,46,8
c,bytes,document,100,2,qcbor,1.5.1,3714,8350,343,12064,269251.480883,119760.479042,82891.246684,0,1.0,1,c4a54cdecc67,,47,9
c,bytes,document,100,2,tinycbor,0.6.0,1374,8006,343,9380,727802.037846,124906.320260,106609.808102,0,1.0,1,c4a54cdecc67,,48,10
c,bytes,document,100,2,libbson,1.27.5,5309,4429,577,9738,188359.389716,225784.601490,102690.490861,0,1.0,1,c4a54cdecc67,,49,11
c,bytes,document,100,2,msgpack-c,6.0.1,1462,4689,335,6151,683994.528044,213265.088505,162575.191026,0,1.0,1,c4a54cdecc67,,50,12
c,bytes,document,100,2,cJSON,1.7.18,45481,8671,460,54152,21987.203448,115326.951909,18466.538632,0,1.0,1,c4a54cdecc67,,51,13
c,bytes,document,100,2,ubj,1.0-min,938,473,244,1411,1066098.081023,2114164.904863,708717.221828,0,1.0,1,c4a54cdecc67,,52,14
c,bytes,document,100,2,flatcc,0.6.1,2951,293,236,3244,338868.180278,3412969.283276,308261.405672,0,1.0,1,c4a54cdecc67,,53,15
c,bytes,document,100,2,jansson,2.14,13892,12456,460,26348,71983.875612,80282.594733,37953.544861,0,1.0,1,c4a54cdecc67,,54,16
c,bytes,document,100,2,cbor-encode,0.11.0,8471,7647,457,16118,118049.817023,130770.236694,62042.437027,0,1.0,1,c4a54cdecc67,,55,17
c,bytes,document,100,2,parson,1.5.3,18650,9259,460,27909,53619.302949,108003.024085,35830.735605,0,1.0,1,c4a54cdecc67,,56,18
c,bytes,document,100,3,protobuf-wire,wire-v2,1150,1189,166,2339,869565.217391,841042.893188,427533.133818,0,1.0,1,c4a54cdecc67,,57,0
c,bytes,document,100,3,mpack,1.1,1573,5833,335,7406,635727.908455,171438.367907,135025.654874,0,1.0,1,c4a54cdecc67,,58,1
c,bytes,document,100,3,qcbor,1.5.1,3949,6366,343,10315,253228.665485,157084.511467,96946.194862,0,1.0,1,c4a54cdecc67,,59,2
c,bytes,document,100,3,jansson,2.14,11038,10101,460,21139,90596.122486,99000.099000,47305.927433,0,1.0,1,c4a54cdecc67,,60,3
c,bytes,document,100,3,parson,1.5.3,16357,6346,460,22703,61135.905117,157579.577687,44047.042241,0,1.0,1,c4a54cdecc67,,61,4
c,bytes,document,100,3,protobuf-c,1.5.0,1214,1229,166,2443,823723.228995,813669.650122,409332.787556,0,1.0,1,c4a54cdecc67,,62,5
c,bytes,document,100,3,yyjson,0.10.0,7900,4718,460,12618,126582.278481,211954.217889,79251.862419,0,1.0,1,c4a54cdecc67,,63,6
