Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,NativeKind,StreamMode,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
cpp,bytes,document,100,0,zpp_bits,4.4.25,1310,2065,227,3375,763358.778626,484261.501211,296296.296296,0,1.0,struct,adapted,1,c4a54cdecc67,0,0
cpp,bytes,document,100,0,rapidjson,1.1.0,2697,21175,458,23872,370782.350760,47225.501771,41890.080429,0,1.0,dom,native,1,c4a54cdecc67,1,1
cpp,bytes,document,100,0,avro_c,avro-c,10327,5239,125,15566,96833.543139,190876.121397,64242.579982,0,1.0,schema,adapted,1,c4a54cdecc67,2,2
cpp,bytes,document,100,0,yyjson,0.10.0,3365,12600,458,15965,297176.820208,79365.079365,62637.018478,0,1.0,dom,adapted,1,c4a54cdecc67,3,3
cpp,bytes,document,100,0,bitsery,5.2.4,995,1059,190,2054,1005025.125628,944287.063267,486854.917235,0,1.0,struct,adapted,1,c4a54cdecc67,4,4
cpp,bytes,document,100,0,jsoncons_cbor,0.177.0,5532,27467,338,32999,180766.449747,36407.325154,30303.948605,0,1.0,dom,native,1,c4a54cdecc67,5,5
cpp,bytes,document,100,0,nlohmann_json,3.11.3,2659,9174,458,11833,376081.233546,109003.706126,84509.422801,0,1.0,struct,native,1,c4a54cdecc67,6,6
cpp,bytes,document,100,0,cereal,1.3.2,5634,2100,267,7734,177493.787717,476190.476190,129299.198345,0,1.0,struct,native,1,c4a54cdecc67,7,7
cpp,bytes,document,100,0,flatbuffers,flatbuffers,2563,2117,188,4680,390167.772142,472366.556448,213675.213675,0,1.0,schema,adapted,1,c4a54cdecc67,8,8
cpp,bytes,document,100,0,arduinojson,7.2.1,3275,15318,458,18593,305343.511450,65282.673978,53783.682031,0,1.0,dom,native,1,c4a54cdecc67,9,9
cpp,bytes,document,100,0,simdjson,3.10.1,248,20277,458,20525,4032258.064516,49316.960103,48721.071864,0,1.0,dom,adapted,1,c4a54cdecc67,10,10
cpp,bytes,document,100,0,jsoncons_bson,0.177.0,6402,25630,502,32032,156201.187129,39016.777214,31218.781219,0,1.0,dom,native,1,c4a54cdecc67,11,11
cpp,bytes,document,100,0,avro,binary-1.11,1646,1803,125,3449,607533.414338,554631.170272,289939.112786,0,1.0,schema,adapted,1,c4a54cdecc67,12,12
cpp,bytes,document,100,0,cista,0.15,1550,2373,328,3923,645161.290323,421407.501054,254906.958960,0,1.0,archive,adapted,1,c4a54cdecc67,13,13
cpp,bytes,document,100,0,msgpack,msgpack-cxx,3428,3104,332,6532,291715.285881,322164.948454,153092.467851,0,1.0,struct,native,1,c4a54cdecc67,14,14
