Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,StreamMode,RunOrder,SchedulePosition
csharp,string,document,100,0,MS XmlSerializer,.NET 8.0.28,11770385,8433296,1258,20203681,84.95898817243446,118.57760002732027,49.495930964263394,0,1.00,1,c4a54cdecc67,,0,0
csharp,string,document,100,0,SpanJson,4.2.1,32427894,522345,440,32950239,30.83764859969013,1914.4435191300768,30.348793524684297,0,1.00,1,c4a54cdecc67,,1,1
csharp,string,document,100,0,Ceras,4.1.7,30813841,2489970,284,33303811,32.45294866031145,401.6112643927437,30.02659365320083,0,1.00,1,c4a54cdecc67,,2,2
csharp,string,document,100,0,YamlDotNet,17.1.0,29290091,13940520,421,43230611,34.14123909686727,71.73333562880008,23.13175726338913,0,1.00,1,c4a54cdecc67,,3,3
csharp,string,document,100,0,MemoryPack,,3022922,2255217,352,5278139,330.8057568141024,443.41630982739133,189.46071712018195,0,1.00,1,c4a54cdecc67,,4,4
csharp,string,document,100,0,ProtoBuf,2.4.9.1,3509001,3303811,208,6812812,284.9813949896281,302.680752621745,146.78226846711755,0,1.00,1,c4a54cdecc67,,5,5
csharp,string,document,100,0,Json.Net (Helper),13.0.4,1809702,8225868,541,10035570,552.5771646381559,121.56771783840927,99.64556074044623,0,1.00,1,c4a54cdecc67,,6,6
csharp,string,document,100,0,MS DataContract,.NET 8.0.28,11272767,6227821,1304,17500588,88.70936479038376,160.5698044307953,57.140937207366974,0,1.00,1,c4a54cdecc67,,7,7
csharp,string,document,100,0,Json.Net,13.0.4,172152,134539,541,306691,5808.820112458758,7432.789005418504,3260.610842835297,0,1.00,1,c4a54cdecc67,,8,8
csharp,string,document,100,0,YAXLib,4.4.0,14978124,4089602,1119,19067726,66.7640353358004,244.52257212315527,52.44463865276856,0,1.00,1,c4a54cdecc67,,9,9
csharp,string,document,100,0,ZeroFormatter,1.6.4,15931817,899591,288,16831408,62.76747969173886,1111.6162789534355,59.412735999269934,0,1.00,1,c4a54cdecc67,,10,10
csharp,string,document,100,0,Apache.Avro,1.12.1,1361050,2123948,152,3484998,734.7268652878292,470.821319542663,286.9442105849128,0,1.00,1,c4a54cdecc67,,11,11
csharp,string,document,100,0,NetJSON,1.0.0,23225009,4601730,440,27826739,43.05703390685446,217.3095770503702,35.936657903033485,0,1.00,1,c4a54cdecc67,,12,12
csharp,string,document,100,0,Hyperion,0.12.2,24775756,9735524,776,34511280,40.36203779210612,102.71660775526823,28.97603334330109,0,1.00,1,c4a54cdecc67,,13,13
csharp,string,document,100,0,MS Bond Json,.NET 8.0.28,46621083,214676,440,46835759,21.449523169592606,4658.182563491028,21.351207311490352,0,1.00,1,c4a54cdecc67,,14,14
csharp,string,document,100,0,Google.Protobuf,3.35.1,2352882,2193753,208,4546635,425.0106890188288,455.83983246974475,219.94288083384745,0,1.00,1,c4a54cdecc67,,15,15
csharp,string,document,100,0,BinaryPack,1.0.3,14385081,1302706,300,15687787,69.51646640015444,767.6329118005137,63.74385373794277,0,1.00,1,c4a54cdecc67,,16,16
csharp,string,document,100,0,SharpYaml,3.13.0,16912460,11632646,469,28545106,59.12800385041561,85.96496446294334,35.03227488452837,0,1.00,1,c4a54cdecc67,,17,17
csharp,string,document,100,0,Migrant,0.13.0.0,15307762,10464850,1376,25772612,65.3263357504513,95.55798697544637,38.80087901063346,0,1.00,1,c4a54cdecc67,,18,18
csharp,string,document,100,0,MS Binary,.NET 8.0.28,1412686,787660,1876,2200346,707.8713882632093,1269.5833227534722,454.47397818343114,0,1.00,1,c4a54cdecc67,,19,19
csharp,string,document,100,0,ServiceStack Json,6.11.0,20576054,14053406,440,34629460,48.6001834948528,71.15712731845932,28.877146799285924,0,1.00,1,c4a54cdecc67,,20,20
csharp,string,document,100,0,MS Bond Fast,.NET 8.0.28,25369080,320156,376,25689236,39.41806324864756,3123.477304813903,38.92680965677609,0,1.00,1,c4a54cdecc67,,21,21
csharp,string,document,100,0,Jil,2.17.0,88002810,39647324,440,127650134,11.363273513652576,25.222383230706818,7.833912653785385,0,1.00,1,c4a54cdecc67,,22,22
csharp,string,document,100,0,FsPickler,5.3.2,82583061,8495353,516,91078414,12.109020759111848,117.71141234507854,10.97954999523817,0,1.00,1,c4a54cdecc67,,23,23
csharp,string,document,100,0,SharpSerializer,,5880941,3096666,3232,8977607,170.04081489679967,322.92794896188354,111.38825747217493,0,1.00,1,c4a54cdecc67,,24,24
csharp,string,document,100,0,MS Bond Compact,.NET 8.0.28,24147111,267213,208,24414324,41.41282160006636,3742.3328954803846,40.95956128050074,0,1.00,1,c4a54cdecc67,,25,25
csharp,string,document,100,0,Utf8Json,1.3.7,36248624,1788409,440,38037033,27.587254070664862,559.1562109114861,26.290168320962362,0,1.00,1,c4a54cdecc67,,26,26
csharp,string,document,100,0,ExtendedXmlSerializer,3.10.0.0,211201,192093,795,403294,4734.826066164459,5205.811768258083,2479.5806533199107,0,1.00,1,c4a54cdecc67,,27,27
csharp,string,document,100,0,LightProto,1.3.4,14207206,3050095,208,17257301,70.3868163803636,327.8586404685756,57.946488851298355,0,1.00,1,c4a54cdecc67,,28,28
csharp,string,document,100,0,MS DataContract Json,.NET 8.0.28,3850785,6685044,588,10535829,259.6873105094156,149.58764669312572,94.91422079838236,0,1.00,1,c4a54cdecc67,,29,29
