Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,NativeKind,StreamMode,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
go,bytes,document,100,0,sonic,1.15.2,57756,68753,448,126509,17314.218436,14544.819862,7904.575959,0,1.0,reflect,native,1,c4a54cdecc67,0,0
go,bytes,document,100,0,jsoniter,1.1.12,115858,55061,448,170919,8631.255502,18161.675233,5850.724612,0,1.0,reflect,native,1,c4a54cdecc67,1,1
go,bytes,document,100,0,goccy/go-json,0.10.6,595793,66638,448,662431,1678.435295,15006.452775,1509.591188,0,1.0,reflect,native,1,c4a54cdecc67,2,2
go,bytes,document,100,0,segmentio/encoding/json,0.5.4,33740,33340,448,67080,29638.411381,29994.001200,14907.573047,0,1.0,reflect,native,1,c4a54cdecc67,3,3
go,bytes,document,100,0,protobuf,1.36.11,33332,10771,155,44103,30001.200048,92841.890261,22674.194499,0,1.0,message,adapted,1,c4a54cdecc67,4,4
go,bytes,document,100,0,ugorji/cbor,1.3.2,67923,32791,332,100714,14722.553480,30496.172730,9929.106182,0,1.0,reflect,native,1,c4a54cdecc67,5,5
go,bytes,document,100,0,ugorji/json,1.3.2,24340,40483,448,64823,41084.634347,24701.726651,15426.623266,0,1.0,reflect,native,1,c4a54cdecc67,6,6
go,bytes,document,100,0,hamba/avro,2.31.0,48760,28552,116,77312,20508.613618,35023.816195,12934.602649,0,1.0,schema,native,1,c4a54cdecc67,7,7
go,bytes,document,100,0,goccy/go-yaml,1.19.2,229521,221403,429,450924,4356.899804,4516.650633,2217.668609,0,1.0,reflect,native,1,c4a54cdecc67,8,8
go,bytes,document,100,0,encoding/json,go1.24.13,30014,16552,448,46566,33317.785034,60415.659739,21474.895847,0,1.0,reflect,native,1,c4a54cdecc67,9,9
go,bytes,document,100,0,mongo-bson,1.17.9,35547,37242,525,72789,28131.769207,26851.404328,13738.339584,0,1.0,reflect,native,1,c4a54cdecc67,10,10
go,bytes,document,100,0,kelindar/binary,1.0.19,19636,7304,113,26940,50926.869016,136911.281490,37119.524870,0,1.0,reflect,native,1,c4a54cdecc67,11,11
go,bytes,document,100,0,linkedin/goavro,2.15.0,7142,7607,114,14749,140016.802016,131457.867753,67801.206861,0,1.0,schema,adapted,1,c4a54cdecc67,12,12
go,bytes,document,100,0,vmihailenco/msgpack,5.4.1,22866,17950,397,40816,43733.053442,55710.306407,24500.196002,0,1.0,reflect,native,1,c4a54cdecc67,13,13
go,bytes,document,100,0,pelletier/go-toml,2.4.3,44726,71901,500,116627,22358.359791,13908.012406,8574.343848,0,1.0,reflect,native,1,c4a54cdecc67,14,14
go,bytes,document,100,0,encoding/gob,go1.24.13,54564,75197,366,129761,18327.102119,13298.402862,7706.475752,0,1.0,reflect,native,1,c4a54cdecc67,15,15
go,bytes,document,100,0,fxamacker/cbor,2.9.2,29817,19838,332,49655,33537.914612,50408.307289,20138.958816,0,1.0,reflect,native,1,c4a54cdecc67,16,16
go,bytes,document,100,0,shamaton/msgpack,3.1.2,21111,17281,317,38392,47368.670361,57867.021584,26047.093144,0,1.0,reflect,native,1,c4a54cdecc67,17,17
go,bytes,document,100,0,ugorji/msgpack,1.3.2,16140,28130,329,44270,61957.868649,35549.235691,22588.660492,0,1.0,reflect,native,1,c4a54cdecc67,18,18
go,bytes,document,100,1,segmentio/encoding/json,0.5.4,9773,8565,448,18338,102322.725877,116754.232341,54531.573781,0,1.0,reflect,native,1,c4a54cdecc67,19,0
