Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
javascript,bytes,document,100,0,bson,6.10.4,547157,539401,493,1086558,1827.628999,1853.908317,920.337433,0,1.00,1,c4a54cdecc67,0,0
javascript,bytes,document,100,0,@msgpack/msgpack,3.1.3,471067,623573,325,1094640,2122.840275,1603.661480,913.542352,0,1.00,1,c4a54cdecc67,1,1
javascript,bytes,document,100,0,bser,2.1.1,302532,342775,448,645307,3305.435458,2917.365619,1549.650012,0,1.00,1,c4a54cdecc67,2,2
javascript,bytes,document,100,0,cbor-x,1.6.4,669250,580025,234,1249275,1494.209936,1724.063618,800.464269,0,1.00,1,c4a54cdecc67,3,3
javascript,bytes,document,100,0,flatbuffers,24.12.23,629408,275770,416,905178,1588.794550,3626.210248,1104.755087,0,1.00,1,c4a54cdecc67,4,4
javascript,bytes,document,100,0,avsc,5.7.9,173471,176367,114,349838,5764.652305,5669.994954,2858.465919,0,1.00,1,c4a54cdecc67,5,5
javascript,bytes,document,100,0,json-pack-msgpack,18.28.0,333979,438425,337,772404,2994.200234,2280.891829,1294.659272,0,1.00,1,c4a54cdecc67,6,6
javascript,bytes,document,100,0,v8-serializer,v8-13.6.233.17-node.48,42873,34649,403,77522,23324.703193,28860.861785,12899.563995,0,1.00,1,c4a54cdecc67,7,7
javascript,bytes,document,100,0,devalue,5.8.1,498978,250799,555,749777,2004.096373,3987.256727,1333.729896,0,1.00,1,c4a54cdecc67,8,8
javascript,bytes,document,100,0,cbor,9.0.2,1702513,861463,332,2563976,587.367027,1160.815961,390.019251,0,1.00,1,c4a54cdecc67,9,9
javascript,bytes,document,100,0,simdjson-parse+JSON.stringify,0.9.2,14972,70386,448,85358,66791.343842,14207.370784,11715.363528,0,1.00,1,c4a54cdecc67,10,10
javascript,bytes,document,100,0,JSON.stringify,node-24.15.0,15354,14156,448,29510,65129.607920,70641.424131,33886.818028,0,1.00,1,c4a54cdecc67,11,11
javascript,bytes,document,100,0,google-protobuf,3.21.4,16681,482198,155,498879,59948.444338,2073.836889,2004.494076,0,1.00,1,c4a54cdecc67,12,12
javascript,bytes,document,100,0,sia,2.3.0,208126,186642,547,394768,4804.781719,5357.850859,2533.133385,0,1.00,1,c4a54cdecc67,13,13
javascript,bytes,document,100,0,bebop,3.2.3,241522,150752,547,392274,4140.409569,6633.411165,2549.238542,0,1.00,1,c4a54cdecc67,14,14
javascript,bytes,document,100,0,protobufjs,7.6.5,372259,1319472,155,1691731,2686.301742,757.878909,591.110525,0,1.00,1,c4a54cdecc67,15,15
javascript,bytes,document,100,0,msgpackr,1.12.1,599787,441032,345,1040819,1667.258543,2267.409168,960.781846,0,1.00,1,c4a54cdecc67,16,16
javascript,bytes,document,100,0,flexbuffers,24.12.23,1014566,587495,579,1602061,985.643122,1702.142146,624.195958,0,1.00,1,c4a54cdecc67,17,17
javascript,bytes,document,100,0,fast-json-stringify,6.4.0,195696,18160,448,213856,5109.966479,55066.079295,4676.043693,0,1.00,1,c4a54cdecc67,18,18
javascript,bytes,document,100,0,protobuf-es,2.12.1,225284,230401,155,455685,4438.841640,4340.258940,2194.498393,0,1.00,1,c4a54cdecc67,19,19
javascript,bytes,document,100,1,protobuf-es,2.12.1,76483,58700,155,135183,13074.800936,17035.775128,7397.379848,0,1.00,1,c4a54cdecc67,20,0
javascript,bytes,document,100,1,avsc,5.7.9,46634,28262,114,74896,21443.581936,35383.200057,13351.847896,0,1.00,1,c4a54cdecc67,21,1
javascript,bytes,document,100,1,sia,2.3.0,39132,36646,547,75778,25554.533374,27288.107843,13196.442239,0,1.00,1,c4a54cdecc67,22,2
javascript,bytes,document,100,1,bebop,3.2.3,34104,27999,547,62103,29322.073657,35715.561270,16102.281693,0,1.00,1,c4a54cdecc67,23,3
javascript,bytes,document,100,1,JSON.stringify,node-24.15.0,4596,5027,448,9623,217580.504787,198925.800676,103917.697184,0,1.00,1,c4a54cdecc67,24,4
javascript,bytes,document,100,1,@msgpack/msgpack,3.1.3,52085,59280,325,111365,19199.385620,16869.095816,8979.481884,0,1.00,1,c4a54cdecc67,25,5
javascript,bytes,document,100,1,fast-json-stringify,6.4.0,20989,4046,448,25035,47644.004002,247157.686604,39944.078290,0,1.00,1,c4a54cdecc67,26,6
javascript,bytes,document,100,1,json-pack-msgpack,18.28.0,39430,32928,337,72358,25361.399949,30369.290573,13820.171923,0,1.00,1,c4a54cdecc67,27,7
javascript,bytes,document,100,1,google-protobuf,3.21.4,1222,64973,155,66195,818330.605565,15391.008573,15106.881184,0,1.00,1,c4a54cdecc67,28,8
javascript,bytes,document,100,1,devalue,5.8.1,88980,22048,555,111028,11238.480557,45355.587808,9006.737039,0,1.00,1,c4a54cdecc67,29,9
javascript,bytes,document,100,1,cbor-x,1.6.4,36068,88142,234,124210,27725.407563,11345.329128,8050.881572,0,1.00,1,c4a54cdecc67,30,10
