Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,SizeGzip,SizeZstd,NativeKind,StreamMode,RunOrder,SchedulePosition
python,bytes,document,100,0,cbor2,6.1.3,27101,20968,332,48069,36899.007417,47691.720717,20803.428405,3497,1.00,1,c4a54cdecc67,220,224,dict,,0,0
python,bytes,document,100,0,rapidjson,1.23,12302,10784,448,23086,81287.595513,92729.970326,43316.295590,2663,1.00,1,c4a54cdecc67,229,235,dict,,1,1
python,bytes,document,100,0,mashumaro,3.22,23318,53636,448,76954,42885.324642,18644.194198,12994.776100,9821,1.00,1,c4a54cdecc67,229,235,dataclass,,2,2
python,bytes,document,100,0,orjson,3.11.9,3358,3571,448,6929,297796.307326,280033.604032,144320.969837,9821,1.00,1,c4a54cdecc67,229,235,dict,,3,3
python,bytes,document,100,0,json,python-3.14.0,16651,13684,448,30335,60056.453066,73078.047355,32965.221691,3200,1.00,1,c4a54cdecc67,229,235,dict,,4,4
python,bytes,document,100,0,msgspec,0.21.1,4930,4317,192,9247,202839.756592,231642.344221,108143.181572,1406,1.00,1,c4a54cdecc67,165,163,struct,,5,5
python,bytes,document,100,0,avro,1.12.2,27009,19353,114,46362,37024.695472,51671.575466,21569.388724,1121,1.00,1,c4a54cdecc67,137,123,dict,,6,6
python,bytes,document,100,0,cloudpickle,3.1.2,40833,13805,452,54638,24489.995837,72437.522637,18302.280464,8946,1.00,1,c4a54cdecc67,319,336,dataclass,,7,7
python,bytes,document,100,0,msgpack,1.2.1,7526,8297,325,15823,132872.707946,120525.491141,63199.140492,1028,1.00,1,c4a54cdecc67,228,232,dict,,8,8
python,bytes,document,100,0,protobuf,7.35.1,6078,6136,155,12214,164527.805199,162972.620600,81873.260193,292,1.00,1,c4a54cdecc67,174,164,message,,9,9
python,bytes,document,100,0,msgspec-msgpack,0.21.1,3438,3349,129,6787,290866.783013,298596.595999,147340.503905,1310,1.00,1,c4a54cdecc67,149,138,struct,,10,10
python,bytes,document,100,0,pickle,python-3.14.0,18530,13183,452,31713,53966.540745,75855.268148,31532.809889,6889,1.00,1,c4a54cdecc67,319,336,dataclass,,11,11
python,bytes,document,100,0,dill,0.4.1,214748,22596,452,237344,4656.620783,44255.620464,4213.293785,14770,1.00,1,c4a54cdecc67,319,336,dataclass,,12,12
python,bytes,document,100,0,flatbuffers,25.12.19,113292,42956,416,156248,8826.748579,23279.634975,6400.081921,2638,1.00,1,c4a54cdecc67,267,265,dataclass,,13,13
python,bytes,document,100,0,pydantic,2.13.4,24357,35063,448,59420,41055.959272,28520.092405,16829.350387,5757,1.00,1,c4a54cdecc67,229,235,model,,14,14
python,bytes,document,100,0,serpyco-rs,1.21.0,9056,8188,448,17244,110424.028269,122129.946263,57991.185340,9789,1.00,1,c4a54cdecc67,229,235,dataclass,,15,15
python,bytes,document,100,1,flatbuffers,25.12.19,84449,52955,416,137404,11841.466447,18883.958078,7277.808506,2638,1.00,1,c4a54cdecc67,267,265,dataclass,,16,0
python,bytes,document,100,1,json,python-3.14.0,16604,11078,448,27682,60226.451457,90269.001625,36124.557474,3200,1.00,1,c4a54cdecc67,229,235,dict,,17,1
python,bytes,document,100,1,msgpack,1.2.1,6300,11826,325,18126,158730.158730,84559.445290,55169.369966,1028,1.00,1,c4a54cdecc67,228,232,dict,,18,2
python,bytes,document,100,1,orjson,3.11.9,2916,2456,448,5372,342935.528121,407166.123779,186150.409531,9821,1.00,1,c4a54cdecc67,229,235,dict,,19,3
python,bytes,document,100,1,avro,1.12.2,25778,12553,114,38331,38792.769028,79662.232136,26088.544520,1121,1.00,1,c4a54cdecc67,137,123,dict,,20,4
python,bytes,document,100,1,cbor2,6.1.3,24327,10928,332,35255,41106.589386,91508.052709,28364.770954,3497,1.00,1,c4a54cdecc67,220,224,dict,,21,5
python,bytes,document,100,1,pickle,python-3.14.0,17502,10596,452,28098,57136.327277,94375.235938,35589.721688,6889,1.00,1,c4a54cdecc67,319,336,dataclass,,22,6
python,bytes,document,100,1,msgspec,0.21.1,4198,3613,192,7811,238208.670796,276778.300581,128024.580719,1406,1.00,1,c4a54cdecc67,165,163,struct,,23,7
python,bytes,document,100,1,protobuf,7.35.1,5804,5083,155,10887,172294.968987,196734.212079,91852.668320,292,1.00,1,c4a54cdecc67,174,164,message,,24,8
python,bytes,document,100,1,mashumaro,3.22,4674,9673,448,14347,213949.507916,103380.543782,69700.982784,9821,1.00,1,c4a54cdecc67,229,235,dataclass,,25,9
python,bytes,document,100,1,dill,0.4.1,169638,16057,452,185695,5894.905623,62278.134147,5385.174614,14770,1.00,1,c4a54cdecc67,319,336,dataclass,,26,10
python,bytes,document,100,1,rapidjson,1.23,12414,9218,448,21632,80554.212985,108483.402039,46227.810651,2663,1.00,1,c4a54cdecc67,229,235,dict,,27,11
python,bytes,document,100,1,pydantic,2.13.4,16847,22833,448,39680,59357.749154,43796.259799,25201.612903,5757,1.00,1,c4a54cdecc67,229,235,model,,28,12
python,bytes,document,100,1,msgspec-msgpack,0.21.1,3340,3774,129,7114,299401.197605,264970.853206,140567.894293,1310,1.00,1,c4a54cdecc67,149,138,struct,,29,13
python,bytes,document,100,1,cloudpickle,3.1.2,36518,8590,452,45108,27383.755956,116414.435390,22169.016582,8946,1.00,1,c4a54cdecc67,319,336,dataclass,,30,14
python,bytes,document,100,1,serpyco-rs,1.21.0,4389,5283,448,9672,227842.333105,189286.390309,103391.232423,9789,1.00,1,c4a54cdecc67,229,235,dataclass,,31,15
python,bytes,document,100,2,avro,1.12.2,19342,10034,114,29376,51700.961638,99661.152083,34041.394336,1121,1.00,1,c4a54cdecc67,137,123,dict,,32,0
python,bytes,document,100,2,cloudpickle,3.1.2,22619,7361,452,29980,44210.619391,135851.107187,33355.570380,8946,1.00,1,c4a54cdecc67,319,336,dataclass,,33,1
python,bytes,document,100,2,mashumaro,3.22,4448,8549,448,12997,224820.143885,116972.745350,76940.832500,9821,1.00,1,c4a54cdecc67,229,235,dataclass,,34,2
python,bytes,document,100,2,orjson,3.11.9,1864,1688,448,3552,536480.686695,592417.061611,281531.531532,9821,1.00,1,c4a54cdecc67,229,235,dict,,35,3
python,bytes,document,100,2,serpyco-rs,1.21.0,2063,2859,448,4922,484730.974309,349772.647779,203169.443316,9789,1.00,1,c4a54cdecc67,229,235,dataclass,,36,4
python,bytes,document,100,2,rapidjson,1.23,6206,6391,448,12597,161134.386078,156470.035988,79383.980313,2663,1.00,1,c4a54cdecc67,229,235,dict,,37,5
python,bytes,document,100,2,dill,0.4.1,140224,13468,452,153692,7131.446828,74250.074250,6506.519533,14770,1.00,1,c4a54cdecc67,319,336,dataclass,,38,6
python,bytes,document,100,2,cbor2,6.1.3,23856,9543,332,33399,41918.175721,104788.850466,29941.016198,3497,1.00,1,c4a54cdecc67,220,224,dict,,39,7
python,bytes,document,100,2,msgspec,0.21.1,3360,2629,192,5989,297619.047619,380372.765310,166972.783436,1406,1.00,1,c4a54cdecc67,165,163,struct,,40,8
python,bytes,document,100,2,json,python-3.14.0,17386,9138,448,26524,57517.542851,109433.136354,37701.704117,3200,1.00,1,c4a54cdecc67,229,235,dict,,41,9
python,bytes,document,100,2,flatbuffers,25.12.19,89037,28161,416,117198,11231.285870,35510.102624,8532.568815,2638,1.00,1,c4a54cdecc67,267,265,dataclass,,42,10
python,bytes,document,100,2,protobuf,7.35.1,7321,5622,155,12943,136593.361563,177872.643187,77261.840377,292,1.00,1,c4a54cdecc67,174,164,message,,43,11
python,bytes,document,100,2,pydantic,2.13.4,12107,19010,448,31117,82596.844801,52603.892688,32136.774111,5757,1.00,1,c4a54cdecc67,229,235,model,,44,12
python,bytes,document,100,2,pickle,python-3.14.0,15479,10797,452,26276,64603.656567,92618.319904,38057.543005,6889,1.00,1,c4a54cdecc67,319,336,dataclass,,45,13
python,bytes,document,100,2,msgpack,1.2.1,7026,6954,325,13980,142328.494165,143802.128271,71530.758226,1028,1.00,1,c4a54cdecc67,228,232,dict,,46,14
python,bytes,document,100,2,msgspec-msgpack,0.21.1,1948,3149,129,5097,513347.022587,317561.130518,196193.839513,1310,1.00,1,c4a54cdecc67,149,138,struct,,47,15
python,bytes,document,100,3,rapidjson,1.23,7475,7790,448,15265,133779.264214,128369.704750,65509.335080,2663,1.00,1,c4a54cdecc67,229,235,dict,,48,0
python,bytes,document,100,3,json,python-3.14.0,14269,7919,448,22188,70081.995935,126278.570527,45069.406887,3200,1.00,1,c4a54cdecc67,229,235,dict,,49,1
python,bytes,document,100,3,orjson,3.11.9,2019,3378,448,5397,495294.700347,296033.155713,185288.123031,9821,1.00,1,c4a54cdecc67,229,235,dict,,50,2
python,bytes,document,100,3,serpyco-rs,1.21.0,3142,4021,448,7163,318268.618714,248694.354638,139606.310205,9789,1.00,1,c4a54cdecc67,229,235,dataclass,,51,3
python,bytes,document,100,3,avro,1.12.2,20273,10230,114,30503,49326.690672,97751.710655,32783.660624,1121,1.00,1,c4a54cdecc67,137,123,dict,,52,4
python,bytes,document,100,3,pydantic,2.13.4,8889,16852,448,25741,112498.593768,59340.137669,38848.529583,5757,1.00,1,c4a54cdecc67,229,235,model,,53,5
python,bytes,document,100,3,msgspec,0.21.1,2554,2198,192,4752,391542.678152,454959.053685,210437.710438,1406,1.00,1,c4a54cdecc67,165,163,struct,,54,6
python,bytes,document,100,3,msgpack,1.2.1,3583,4701,325,8284,279095.729835,212720.697724,120714.630613,1028,1.00,1,c4a54cdecc67,228,232,dict,,55,7
python,bytes,document,100,3,msgspec-msgpack,0.21.1,1107,1631,129,2738,903342.366757,613120.784795,365230.094960,1310,1.00,1,c4a54cdecc67,149,138,struct,,56,8
python,bytes,document,100,3,flatbuffers,25.12.19,81389,26700,416,108089,12286.672646,37453.183521,9251.635227,2638,1.00,1,c4a54cdecc67,267,265,dataclass,,57,9
python,bytes,document,100,3,protobuf,7.35.1,3375,3600,155,6975,296296.296296,277777.777778,143369.175627,292,1.00,1,c4a54cdecc67,174,164,message,,58,10
python,bytes,document,100,3,cloudpickle,3.1.2,36738,9658,452,46396,27219.772443,103541.105819,21553.582205,8946,1.00,1,c4a54cdecc67,319,336,dataclass,,59,11
python,bytes,document,100,3,mashumaro,3.22,4173,9475,448,13648,239635.753654,105540.897098,73270.808910,9821,1.00,1,c4a54cdecc67,229,235,dataclass,,60,12
python,bytes,document,100,3,cbor2,6.1.3,19165,7808,332,26973,52178.450300,128073.770492,37074.111148,3497,1.00,1,c4a54cdecc67,220,224,dict,,61,13
python,bytes,document,100,3,pickle,python-3.14.0,10950,7773,452,18723,91324.200913,128650.456709,53410.244085,6889,1.00,1,c4a54cdecc67,319,336,dataclass,,62,14
python,bytes,document,100,3,dill,0.4.1,160525,14138,452,174663,6229.559259,70731.362286,5725.311028,14770,1.00,1,c4a54cdecc67,319,336,dataclass,,63,15
python,bytes,document,100,4,mashumaro,3.22,4234,33249,448,37483,236183.278224,30076.092514,26678.761038,9821,1.00,1,c4a54cdecc67,229,235,dataclass,,64,0
python,bytes,document,100,4,serpyco-rs,1.21.0,2970,3806,448,6776,336700.336700,262743.037310,147579.693034,9789,1.00,1,c4a54cdecc67,229,235,dataclass,,65,1
python,bytes,document,100,4,cbor2,6.1.3,13738,6396,332,20134,72790.799243,156347.717323,49667.229562,3497,1.00,1,c4a54cdecc67,220,224,dict,,66,2
python,bytes,document,100,4,pickle,python-3.14.0,10343,6657,452,17000,96683.747462,150217.815833,58823.529412,6889,1.00,1,c4a54cdecc67,319,336,dataclass,,67,3
python,bytes,document,100,4,cloudpickle,3.1.2,27256,6242,452,33498,36689.169357,160205.062480,29852.528509,8946,1.00,1,c4a54cdecc67,319,336,dataclass,,68,4
