Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,NativeKind,StreamMode,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
rust,bytes,document,100,0,bson,2.15.0,299008,302973,540,601981,3344.392123,3300.624148,1661.181997,0,1.0,serde,adapted,1,c4a54cdecc67,0,0
rust,bytes,document,100,0,rmp-serde,1.3.1,3354,192537,333,195891,298151.460942,5193.806905,5104.879755,0,1.0,serde,adapted,1,c4a54cdecc67,1,1
rust,bytes,document,100,0,bincode,2.0.1,867,2040,122,2907,1153402.537486,490196.078431,343997.248022,0,1.0,serde,adapted,1,c4a54cdecc67,2,2
rust,bytes,document,100,0,simd-json,0.14.3,2272,90584,460,92856,440140.845070,11039.477170,10769.363315,0,1.0,serde,adapted,1,c4a54cdecc67,3,3
rust,bytes,document,100,0,serde_json,1.0.150,697,4730,460,5427,1434720.229555,211416.490486,184263.865856,0,1.0,serde,native,1,c4a54cdecc67,4,4
rust,bytes,document,100,0,sonic-rs,0.3.17,2056,199486,460,201542,486381.322957,5012.883110,4961.744946,0,1.0,serde,adapted,1,c4a54cdecc67,5,5
rust,bytes,document,100,0,rkyv,0.8.17,4141,1518,272,5659,241487.563390,658761.528327,176709.666019,0,1.0,archive,adapted,1,c4a54cdecc67,6,6
rust,bytes,document,100,0,nanoserde,0.1.37,4528,1409,258,5937,220848.056537,709723.207949,168435.236652,0,1.0,direct,adapted,1,c4a54cdecc67,7,7
rust,bytes,document,100,0,flexbuffers,2.0.0,13643,7079,452,20722,73297.661805,141262.890239,48257.890165,0,1.0,serde,adapted,1,c4a54cdecc67,8,8
rust,bytes,document,100,0,minicbor,0.25.1,1556,2625,133,4181,642673.521851,380952.380952,239177.230328,0,1.0,direct,adapted,1,c4a54cdecc67,9,9
rust,bytes,document,100,0,bitcode,0.6.9,53413,7329,122,60742,18722.033962,136444.262519,16463.073327,0,1.0,serde,adapted,1,c4a54cdecc67,10,10
rust,bytes,document,100,0,serde_avro_fast,2.1.0,5760,7237,114,12997,173611.111111,138178.803372,76940.832500,0,1.0,serde,native,1,c4a54cdecc67,11,11
rust,bytes,document,100,0,speedy,0.8.7,1207,812,214,2019,828500.414250,1231527.093596,495294.700347,0,1.0,direct,adapted,1,c4a54cdecc67,12,12
rust,bytes,document,100,0,prost,0.13.5,1889,1824,155,3713,529380.624669,548245.614035,269323.996768,0,1.0,message,adapted,1,c4a54cdecc67,13,13
rust,bytes,document,100,0,ciborium,0.2.2,1562,113056,339,114618,640204.865557,8845.174073,8724.633129,0,1.0,serde,native,1,c4a54cdecc67,14,14
rust,bytes,document,100,0,postcard,1.1.3,3147,1298,114,4445,317762.948840,770416.024653,224971.878515,0,1.0,serde,adapted,1,c4a54cdecc67,15,15
rust,bytes,document,100,1,prost,0.13.5,1081,964,155,2045,925069.380204,1037344.398340,488997.555012,0,1.0,message,adapted,1,c4a54cdecc67,16,0
rust,bytes,document,100,1,serde_json,1.0.150,667,1957,460,2624,1499250.374813,510986.203373,381097.560976,0,1.0,serde,native,1,c4a54cdecc67,17,1
rust,bytes,document,100,1,flexbuffers,2.0.0,4815,2303,452,7118,207684.319834,434216.239687,140488.901377,0,1.0,serde,adapted,1,c4a54cdecc67,18,2
rust,bytes,document,100,1,simd-json,0.14.3,578,4068,460,4646,1730103.806228,245821.042281,215238.915196,0,1.0,serde,adapted,1,c4a54cdecc67,19,3
rust,bytes,document,100,1,rkyv,0.8.17,727,595,272,1322,1375515.818432,1680672.268908,756429.652042,0,1.0,archive,adapted,1,c4a54cdecc67,20,4
rust,bytes,document,100,1,bson,2.15.0,1546,3298,540,4844,646830.530401,303214.069133,206440.957886,0,1.0,serde,adapted,1,c4a54cdecc67,21,5
