Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,NativeKind,StreamMode,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
swift,bytes,document,100,0,SwiftAvroCore,2.3.0,112407,61407,114,173814,8896.243117,16284.788379,5753.276491,0,1.00,schema,adapted,1,c4a54cdecc67,0,0
swift,bytes,document,100,0,IkigaJSON,2.5.3,47895,101854,448,149749,20879.006159,9817.974748,6677.840920,0,1.00,codable,adapted,1,c4a54cdecc67,1,1
swift,bytes,document,100,0,BinaryCodable,4.0.0,232944,235450,337,468394,4292.877258,4247.186239,2134.954760,0,1.00,codable,adapted,1,c4a54cdecc67,2,2
swift,bytes,document,100,0,SwiftProtobuf,1.38.1,36825,13591,155,50416,27155.465037,73578.103157,19834.973024,0,1.00,message,adapted,1,c4a54cdecc67,3,3
swift,bytes,document,100,0,FlatBuffers,24.3.25,8320,7428,440,15748,120192.307692,134625.740442,63500.127000,0,1.00,archive,adapted,1,c4a54cdecc67,4,4
swift,bytes,document,100,0,CapnProto,capnproto-1.0.2,22007,376563,376,398570,45440.087245,2655.598134,2508.969566,0,1.00,message,adapted,1,c4a54cdecc67,5,5
swift,bytes,document,100,0,XMLCoder,0.18.2,938531,613506,729,1552037,1065.494906,1629.975909,644.314536,0,1.00,codable,adapted,1,c4a54cdecc67,6,6
swift,bytes,document,100,0,SwiftCbor,0.0.4,260750,288975,332,549725,3835.091083,3460.506964,1819.091364,0,1.00,codable,adapted,1,c4a54cdecc67,7,7
swift,bytes,document,100,0,Yams,5.4.0,1633467,414246,429,2047713,612.194798,2414.024517,488.349686,0,1.00,codable,adapted,1,c4a54cdecc67,8,8
swift,bytes,document,100,0,Foundation.PropertyListEncoder,Foundation,220922,215172,399,436094,4526.484461,4647.444835,2293.083601,0,1.00,codable,adapted,1,c4a54cdecc67,9,9
swift,bytes,document,100,0,TOML,2.0.0,365478,64590,508,430068,2736.142805,15482.272798,2325.213687,0,1.00,codable,adapted,1,c4a54cdecc67,10,10
swift,bytes,document,100,0,SwiftBSON,3.1.0,164692,126319,525,291011,6071.940349,7916.465457,3436.296222,0,1.00,document,adapted,1,c4a54cdecc67,11,11
