Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,StreamMode,RunOrder,SchedulePosition
c,bytes,message,100,0,qcbor,1.5.1,2985,3505,125,6490,335008.375209,285306.704708,154083.204931,0,1.0,1,99d1c7fab316,,0,0
c,bytes,message,100,0,msgpack-c,6.0.1,755,3382,125,4137,1324503.311258,295683.027794,241721.053904,0,1.0,1,99d1c7fab316,,1,1
c,bytes,message,100,0,parson,1.5.3,8179,4513,170,12692,122264.335493,221582.096167,78789.788843,0,1.0,1,99d1c7fab316,,2,2
c,bytes,message,100,0,nanopb,0.4.9,535,695,51,1230,1869158.878505,1438848.920863,813008.130081,0,1.0,1,99d1c7fab316,,3,3
c,bytes,message,100,0,flatcc,0.6.1,17055,189,84,17244,58633.831721,5291005.291005,57991.185340,0,1.0,1,99d1c7fab316,,4,4
c,bytes,message,100,0,libbson,1.27.5,6389,2331,153,8720,156519.017061,429000.429000,114678.899083,0,1.0,1,99d1c7fab316,,5,5
c,bytes,message,100,0,ubj,1.0-min,306,448,92,754,3267973.856209,2232142.857143,1326259.946950,0,1.0,1,99d1c7fab316,,6,6
c,bytes,message,100,0,jansson,2.14,5657,4389,170,10046,176772.140711,227842.333105,99542.106311,0,1.0,1,99d1c7fab316,,7,7
c,bytes,message,100,0,protobuf-wire,wire-v2,602,821,51,1423,1661129.568106,1218026.796590,702740.688686,0,1.0,1,99d1c7fab316,,8,8
c,bytes,message,100,0,cbor-encode,0.11.0,3826,1819,137,5645,261369.576581,549752.611325,177147.918512,0,1.0,1,99d1c7fab316,,9,9
c,bytes,message,100,0,protobuf-c,1.5.0,522,789,51,1311,1915708.812261,1267427.122940,762776.506484,0,1.0,1,99d1c7fab316,,10,10
c,bytes,message,100,0,mpack,1.1,1405,2764,125,4169,711743.772242,361794.500724,239865.675222,0,1.0,1,99d1c7fab316,,11,11
c,bytes,message,100,0,json-c,0.15,12785,7753,170,20538,78216.660149,128982.329421,48690.232739,0,1.0,1,99d1c7fab316,,12,12
c,bytes,message,100,0,avro-c,1.11.3,2751,1420,57,4171,363504.180298,704225.352113,239750.659314,0,1.0,1,99d1c7fab316,,13,13
c,bytes,message,100,0,zcbor,0.9,1402,2066,126,3468,713266.761769,484027.105518,288350.634371,0,1.0,1,99d1c7fab316,,14,14
c,bytes,message,100,0,custom-binary,v2-1.0,290,207,55,497,3448275.862069,4830917.874396,2012072.434608,0,1.0,1,99d1c7fab316,,15,15
c,bytes,message,100,0,cJSON,1.7.18,5375,2772,170,8147,186046.511628,360750.360750,122744.568553,0,1.0,1,99d1c7fab316,,16,16
c,bytes,message,100,0,tinycbor,0.6.0,1006,1722,125,2728,994035.785288,580720.092915,366568.914956,0,1.0,1,99d1c7fab316,,17,17
c,bytes,message,100,0,yyjson,0.10.0,4463,6655,170,11118,224064.530585,150262.960180,89944.234575,0,1.0,1,99d1c7fab316,,18,18
c,bytes,message,100,1,custom-binary,v2-1.0,60,58,55,118,16666666.666667,17241379.310345,8474576.271186,0,1.0,1,99d1c7fab316,,19,0
c,bytes,message,100,1,parson,1.5.3,4888,1958,170,6846,204582.651391,510725.229826,146070.698218,0,1.0,1,99d1c7fab316,,20,1
c,bytes,message,100,1,nanopb,0.4.9,203,202,51,405,4926108.374384,4950495.049505,2469135.802469,0,1.0,1,99d1c7fab316,,21,2
c,bytes,message,100,1,tinycbor,0.6.0,331,1464,125,1795,3021148.036254,683060.109290,557103.064067,0,1.0,1,99d1c7fab316,,22,3
c,bytes,message,100,1,mpack,1.1,320,1959,125,2279,3125000.000000,510464.522716,438788.942519,0,1.0,1,99d1c7fab316,,23,4
c,bytes,message,100,1,ubj,1.0-min,128,135,92,263,7812500.000000,7407407.407407,3802281.368821,0,1.0,1,99d1c7fab316,,24,5
c,bytes,message,100,1,cbor-encode,0.11.0,1823,1512,137,3335,548546.352167,661375.661376,299850.074963,0,1.0,1,99d1c7fab316,,25,6
c,bytes,message,100,1,zcbor,0.9,712,2356,126,3068,1404494.382022,424448.217317,325945.241199,0,1.0,1,99d1c7fab316,,26,7
c,bytes,message,100,1,json-c,0.15,2546,3434,170,5980,392772.977219,291205.591147,167224.080268,0,1.0,1,99d1c7fab316,,27,8
c,bytes,message,100,1,libbson,1.27.5,1273,1035,153,2308,785545.954438,966183.574879,433275.563258,0,1.0,1,99d1c7fab316,,28,9
c,bytes,message,100,1,protobuf-wire,wire-v2,143,189,51,332,6993006.993007,5291005.291005,3012048.192771,0,1.0,1,99d1c7fab316,,29,10
c,bytes,message,100,1,protobuf-c,1.5.0,133,182,51,315,7518796.992481,5494505.494505,3174603.174603,0,1.0,1,99d1c7fab316,,30,11
c,bytes,message,100,1,flatcc,0.6.1,806,87,84,893,1240694.789082,11494252.873563,1119820.828667,0,1.0,1,99d1c7fab316,,31,12
c,bytes,message,100,1,jansson,2.14,3097,3380,170,6477,322893.122376,295857.988166,154392.465648,0,1.0,1,99d1c7fab316,,32,13
c,bytes,message,100,1,qcbor,1.5.1,1093,1556,125,2649,914913.083257,642673.521851,377500.943752,0,1.0,1,99d1c7fab316,,33,14
