Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,NativeKind,StreamMode,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
cpp,bytes,message,100,0,flexbuffers,flatbuffers-flex,4247,4713,211,8960,235460.324935,212179.079143,111607.142857,0,1.0,dom,adapted,1,99d1c7fab316,0,0
cpp,bytes,message,100,0,simdjson,3.10.1,275,19306,168,19581,3636363.636364,51797.368694,51069.914713,0,1.0,dom,adapted,1,99d1c7fab316,1,1
cpp,bytes,message,100,0,arduinojson,7.2.1,2041,10595,162,12636,489955.903969,94384.143464,79138.968028,0,1.0,dom,native,1,99d1c7fab316,2,2
cpp,bytes,message,100,0,capnproto,1.0.x,6950,8121,96,15071,143884.892086,123137.544637,66352.597704,0,1.0,schema,native,1,99d1c7fab316,3,3
cpp,bytes,message,100,0,jsoncons_cbor,0.177.0,3815,13686,124,17501,262123.197903,73067.368113,57139.592023,0,1.0,dom,native,1,99d1c7fab316,4,4
cpp,bytes,message,100,0,rapidjson,1.1.0,2107,6598,168,8705,474608.448030,151561.079115,114876.507754,0,1.0,dom,native,1,99d1c7fab316,5,5
cpp,bytes,message,100,0,nlohmann_cbor,3.11.3,5940,8346,124,14286,168350.168350,119817.876827,69998.600028,0,1.0,dom,native,1,99d1c7fab316,6,6
cpp,bytes,message,100,0,bitsery,5.2.4,735,453,51,1188,1360544.217687,2207505.518764,841750.841751,0,1.0,struct,adapted,1,99d1c7fab316,7,7
cpp,bytes,message,100,0,yyjson,0.10.0,2385,6476,168,8861,419287.211740,154416.306362,112854.079675,0,1.0,dom,adapted,1,99d1c7fab316,8,8
cpp,bytes,message,100,0,avro,binary-1.11,1388,760,44,2148,720461.095101,1315789.473684,465549.348231,0,1.0,schema,adapted,1,99d1c7fab316,9,9
cpp,bytes,message,100,0,avro_c,avro-c,4472,3160,44,7632,223613.595707,316455.696203,131027.253669,0,1.0,schema,adapted,1,99d1c7fab316,10,10
cpp,bytes,message,100,0,zpp_bits,4.4.25,954,769,57,1723,1048218.029350,1300390.117035,580383.052815,0,1.0,struct,adapted,1,99d1c7fab316,11,11
cpp,bytes,message,100,0,nlohmann_msgpack,3.11.3,1611,3807,124,5418,620732.464308,262674.021539,184569.952012,0,1.0,dom,native,1,99d1c7fab316,12,12
cpp,bytes,message,100,0,jsoncons_bson,0.177.0,3418,8547,140,11965,292568.753657,117000.117000,83577.099875,0,1.0,dom,native,1,99d1c7fab316,13,13
cpp,bytes,message,100,0,custom_binary,harness,1105,431,57,1536,904977.375566,2320185.614849,651041.666667,0,1.0,struct,adapted,1,99d1c7fab316,14,14
