Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,StreamMode,RunOrder,SchedulePosition
csharp,string,message,100,0,NetSerializer,4.1.2,2115037,2199462,64,4314499,472.8049674781103,454.65663875984217,231.7766211094266,0,1.00,1,99d1c7fab316,,0,0
csharp,string,message,100,0,MS Bond Fast,.NET 8.0.28,36746470,293596,96,37040066,27.213498330587946,3406.0409542364337,26.99779206656921,0,1.00,1,99d1c7fab316,,1,1
csharp,string,message,100,0,YamlDotNet,17.1.0,26923006,18845639,144,45768645,37.14295498801285,53.06267407541872,21.849019126522098,0,1.00,1,99d1c7fab316,,2,2
csharp,string,message,100,0,ZeroFormatter,1.6.4,17633977,676206,76,18310183,56.708705018726064,1478.8392886191486,54.614418654362986,0,1.00,1,99d1c7fab316,,3,3
csharp,string,message,100,0,MS Bond Json,.NET 8.0.28,20167457,1452021,142,21619478,49.58483362577642,688.6952736909452,46.254585795272206,0,1.00,1,99d1c7fab316,,4,4
csharp,string,message,100,0,NetJSON,1.0.0,18063207,2610790,142,20673997,55.36115486026374,383.0258274315437,48.36994026844446,0,1.00,1,99d1c7fab316,,5,5
csharp,string,message,100,0,MS DataContract,.NET 8.0.28,5760246,3635799,492,9396045,173.60369678656085,275.0427072563692,106.42775763632464,0,1.00,1,99d1c7fab316,,6,6
csharp,string,message,100,0,SpanJson,4.2.1,26245888,324142,157,26570030,38.10120655852833,3085.067655533686,37.63638957125754,0,1.00,1,99d1c7fab316,,7,7
csharp,string,message,100,0,FsPickler,5.3.2,71773941,6751060,252,78525001,13.932633293746543,148.1248870547736,12.734797672909295,0,1.00,1,99d1c7fab316,,8,8
csharp,string,message,100,0,ProtoBuf,2.4.9.1,2690759,2266984,68,4957743,371.64235072706254,441.1147145282013,201.70468699164115,0,1.00,1,99d1c7fab316,,9,9
csharp,string,message,100,0,MS XmlSerializer,.NET 8.0.28,7321376,5878293,396,13199669,136.58634661025468,170.1174133375114,75.75947548381706,0,1.00,1,99d1c7fab316,,10,10
csharp,string,message,100,0,Apache.Avro,1.12.1,944270,1845778,60,2790048,1059.0191364757961,541.7769634268043,358.4167727580314,0,1.00,1,99d1c7fab316,,11,11
csharp,string,message,100,0,Migrant,0.13.0.0,12640983,9373667,1376,22014650,79.10777191931989,106.68183540123626,45.42429700222352,0,1.00,1,99d1c7fab316,,12,12
csharp,string,message,100,0,LightProto,1.3.4,11080744,1270780,68,12351524,90.2466476980246,786.9182706684084,80.96166918349509,0,1.00,1,99d1c7fab316,,13,13
