Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,NativeKind,StreamMode,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
go,bytes,message,100,0,fxamacker/cbor,2.9.2,21506,10889,124,32395,46498.651539,91835.797594,30868.961259,0,1.0,reflect,native,1,99d1c7fab316,0,0
go,bytes,message,100,0,vmihailenco/msgpack,5.4.1,11053,7451,118,18504,90473.174704,134210.173131,54042.369217,0,1.0,reflect,native,1,99d1c7fab316,1,1
go,bytes,message,100,0,jsoniter,1.1.12,43142,27465,168,70607,23179.268462,36409.976334,14162.901695,0,1.0,reflect,native,1,99d1c7fab316,2,2
go,bytes,message,100,0,mongo-bson,1.17.9,32312,13127,144,45439,30948.254518,76178.867982,22007.526574,0,1.0,reflect,native,1,99d1c7fab316,3,3
go,bytes,message,100,0,protobuf,1.36.11,10793,2678,50,13471,92652.645233,373412.994772,74233.538713,0,1.0,message,adapted,1,99d1c7fab316,4,4
go,bytes,message,100,0,kelindar/binary,1.0.19,13179,3337,44,16516,75878.291221,299670.362601,60547.348026,0,1.0,reflect,native,1,99d1c7fab316,5,5
go,bytes,message,100,0,ugorji/cbor,1.3.2,27185,13544,124,40729,36784.991723,73833.431778,24552.530138,0,1.0,reflect,native,1,99d1c7fab316,6,6
go,bytes,message,100,0,goccy/go-json,0.10.6,152953,28994,168,181947,6537.956104,34489.894461,5496.106009,0,1.0,reflect,native,1,99d1c7fab316,7,7
go,bytes,message,100,0,pelletier/go-toml,2.4.3,18726,28781,157,47507,53401.687493,34745.144366,21049.529543,0,1.0,reflect,native,1,99d1c7fab316,8,8
go,bytes,message,100,0,ugorji/msgpack,1.3.2,5988,14300,124,20288,167000.668003,69930.069930,49290.220820,0,1.0,reflect,native,1,99d1c7fab316,9,9
go,bytes,message,100,0,goccy/go-yaml,1.19.2,60088,141508,155,201596,16642.258022,7066.738276,4960.415881,0,1.0,reflect,native,1,99d1c7fab316,10,10
go,bytes,message,100,0,ugorji/json,1.3.2,7497,13824,168,21321,133386.688009,72337.962963,46902.115285,0,1.0,reflect,native,1,99d1c7fab316,11,11
go,bytes,message,100,0,segmentio/encoding/json,0.5.4,12280,3165,168,15445,81433.224756,315955.766193,64745.872451,0,1.0,reflect,native,1,99d1c7fab316,12,12
go,bytes,message,100,0,hamba/avro,2.31.0,17315,7628,44,24943,57753.393012,131095.962244,40091.408411,0,1.0,schema,native,1,99d1c7fab316,13,13
go,bytes,message,100,0,linkedin/goavro,2.15.0,2354,1388,44,3742,424808.836024,720461.095101,267236.771780,0,1.0,schema,adapted,1,99d1c7fab316,14,14
go,bytes,message,100,0,encoding/gob,go1.24.13,22065,18014,173,40079,45320.643553,55512.379261,24950.722323,0,1.0,reflect,native,1,99d1c7fab316,15,15
go,bytes,message,100,0,encoding/json,go1.24.13,13271,5930,168,19201,75352.271871,168634.064081,52080.620801,0,1.0,reflect,native,1,99d1c7fab316,16,16
go,bytes,message,100,0,shamaton/msgpack,3.1.2,8431,7996,114,16427,118609.892065,125062.531266,60875.388081,0,1.0,reflect,native,1,99d1c7fab316,17,17
go,bytes,message,100,0,sonic,1.15.2,7696,9182,168,16878,129937.629938,108908.734481,59248.726152,0,1.0,reflect,native,1,99d1c7fab316,18,18
go,bytes,message,100,1,encoding/gob,go1.24.13,2821,11920,173,14741,354484.225452,83892.617450,67838.002849,0,1.0,reflect,native,1,99d1c7fab316,19,0
go,bytes,message,100,1,jsoniter,1.1.12,3771,3558,168,7329,265181.649430,281056.773468,136444.262519,0,1.0,reflect,native,1,99d1c7fab316,20,1
go,bytes,message,100,1,mongo-bson,1.17.9,4609,4767,144,9376,216966.804079,209775.540172,106655.290102,0,1.0,reflect,native,1,99d1c7fab316,21,2
go,bytes,message,100,1,shamaton/msgpack,3.1.2,642,848,114,1490,1557632.398754,1179245.283019,671140.939597,0,1.0,reflect,native,1,99d1c7fab316,22,3
go,bytes,message,100,1,ugorji/json,1.3.2,1569,2215,168,3784,637348.629700,451467.268623,264270.613108,0,1.0,reflect,native,1,99d1c7fab316,23,4
go,bytes,message,100,1,ugorji/cbor,1.3.2,2799,3226,124,6025,357270.453733,309981.401116,165975.103734,0,1.0,reflect,native,1,99d1c7fab316,24,5
go,bytes,message,100,1,ugorji/msgpack,1.3.2,2881,3422,124,6303,347101.700798,292226.767972,158654.608916,0,1.0,reflect,native,1,99d1c7fab316,25,6
go,bytes,message,100,1,linkedin/goavro,2.15.0,787,643,44,1430,1270648.030496,1555209.953344,699300.699301,0,1.0,schema,adapted,1,99d1c7fab316,26,7
go,bytes,message,100,1,segmentio/encoding/json,0.5.4,808,1533,168,2341,1237623.762376,652315.720809,427167.876976,0,1.0,reflect,native,1,99d1c7fab316,27,8
go,bytes,message,100,1,kelindar/binary,1.0.19,1220,1067,44,2287,819672.131148,937207.122774,437254.044600,0,1.0,reflect,native,1,99d1c7fab316,28,9
go,bytes,message,100,1,pelletier/go-toml,2.4.3,4537,8665,157,13202,220409.962530,115406.809002,75746.099076,0,1.0,reflect,native,1,99d1c7fab316,29,10
go,bytes,message,100,1,goccy/go-yaml,1.19.2,33218,37439,155,70657,30104.160395,26710.115121,14152.879403,0,1.0,reflect,native,1,99d1c7fab316,30,11
go,bytes,message,100,1,protobuf,1.36.11,2372,1805,50,4177,421585.160202,554016.620499,239406.272444,0,1.0,message,adapted,1,99d1c7fab316,31,12
go,bytes,message,100,1,goccy/go-json,0.10.6,2835,3274,168,6109,352733.686067,305436.774588,163692.912097,0,1.0,reflect,native,1,99d1c7fab316,32,13
go,bytes,message,100,1,fxamacker/cbor,2.9.2,1593,4295,124,5888,627746.390458,232828.870780,169836.956522,0,1.0,reflect,native,1,99d1c7fab316,33,14
