Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,NativeKind,StreamMode,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
java,bytes,message,100,0,java-serialization,21.0.11,4106262,2793939,206,6900201,243.530491,357.917621,144.923315,0,1.0,message,native,1,99d1c7fab316,0,0
java,bytes,message,100,0,dsl-json,2.0.2,6629673,1031112,158,7660785,150.837002,969.826750,130.534926,0,1.0,reflect,native,1,99d1c7fab316,1,1
java,bytes,message,100,0,kryo,5.6.2,104818,7965012,46,8069830,9540.346124,125.549089,123.918348,0,1.0,message,native,1,99d1c7fab316,2,2
java,bytes,message,100,0,jsoniter,0.9.23,39034874,11863552,150,50898426,25.618118,84.291787,19.646973,0,1.0,reflect,adapted,1,99d1c7fab316,3,3
java,bytes,message,100,0,bson,5.3.1,1895699,1779869,134,3675568,527.509905,561.839102,272.066793,0,1.0,message,adapted,1,99d1c7fab316,4,4
java,bytes,message,100,0,moshi,1.15.2,409022,2418571,158,2827593,2444.856267,413.467291,353.657687,0,1.0,reflect,native,1,99d1c7fab316,5,5
java,bytes,message,100,0,jackson,2.18.3,1608017,2298529,158,3906546,621.883973,435.060858,255.980603,0,1.0,reflect,native,1,99d1c7fab316,6,6
java,bytes,message,100,0,msgpack,0.9.8,1582722,2785599,114,4368321,631.822898,358.989216,228.920906,0,1.0,reflect,native,1,99d1c7fab316,7,7
java,bytes,message,100,0,hessian,4.0.66,1456651,2053071,143,3509722,686.506239,487.075216,284.922851,0,1.0,message,native,1,99d1c7fab316,8,8
java,bytes,message,100,0,protostuff,1.8.0,1696885,645746,52,2342631,589.315127,1548.596507,426.870472,0,1.0,schema,native,1,99d1c7fab316,9,9
java,bytes,message,100,0,fory,1.3.0,28874,30551,133,59425,34633.234051,32732.152794,16827.934371,0,1.0,message,adapted,1,99d1c7fab316,10,10
java,bytes,message,100,0,jackson-smile,2.18.3,831480,1023020,119,1854500,1202.674749,977.497996,539.228903,0,1.0,reflect,native,1,99d1c7fab316,11,11
java,bytes,message,100,0,ion,2.18.3,3123701,10406499,144,13530200,320.133073,96.093797,73.908737,0,1.0,reflect,native,1,99d1c7fab316,12,12
java,bytes,message,100,0,avro,1.12.0,4650548,7616286,44,12266834,215.028422,131.297590,81.520627,0,1.0,schema,native,1,99d1c7fab316,13,13
java,bytes,message,100,0,jackson-cbor,2.18.3,745947,1659501,115,2405448,1340.577816,602.590779,415.722976,0,1.0,reflect,native,1,99d1c7fab316,14,14
java,bytes,message,100,0,fastjson2,2.0.57,92145534,13187913,158,105333447,10.852398,75.827009,9.493661,0,1.0,reflect,adapted,1,99d1c7fab316,15,15
java,bytes,message,100,0,gson,2.12.1,4185994,1134949,158,5320943,238.891886,881.096860,187.936612,0,1.0,reflect,native,1,99d1c7fab316,16,16
java,bytes,message,100,0,protobuf,4.28.3,4435364,73182,50,4508546,225.460639,13664.562324,221.800997,0,1.0,message,native,1,99d1c7fab316,17,17
java,bytes,message,100,1,jackson-smile,2.18.3,100668,76466,119,177134,9933.643263,13077.707739,5645.443563,0,1.0,reflect,native,1,99d1c7fab316,18,0
java,bytes,message,100,1,ion,2.18.3,154754,556928,144,711682,6461.868514,1795.564238,1405.121951,0,1.0,reflect,native,1,99d1c7fab316,19,1
java,bytes,message,100,1,kryo,5.6.2,38393,21065,46,59458,26046.414711,47472.110135,16818.594638,0,1.0,message,native,1,99d1c7fab316,20,2
java,bytes,message,100,1,fastjson2,2.0.57,39821,33952,158,73773,25112.377891,29453.345900,13555.094682,0,1.0,reflect,adapted,1,99d1c7fab316,21,3
java,bytes,message,100,1,fory,1.3.0,24155,21131,133,45286,41399.296212,47323.837017,22081.879610,0,1.0,message,adapted,1,99d1c7fab316,22,4
java,bytes,message,100,1,protostuff,1.8.0,20163,15346,52,35509,49595.794277,65163.560537,28161.874454,0,1.0,schema,native,1,99d1c7fab316,23,5
java,bytes,message,100,1,dsl-json,2.0.2,64738,54943,158,119681,15446.878186,18200.680705,8355.545158,0,1.0,reflect,native,1,99d1c7fab316,24,6
java,bytes,message,100,1,protobuf,4.28.3,36253,12241,50,48494,27583.924089,81692.672167,20621.107766,0,1.0,message,native,1,99d1c7fab316,25,7
java,bytes,message,100,1,hessian,4.0.66,32079,32759,143,64838,31173.041554,30525.962331,15423.054382,0,1.0,message,native,1,99d1c7fab316,26,8
java,bytes,message,100,1,avro,1.12.0,53969,64936,44,118905,18529.155626,15399.778243,8410.075270,0,1.0,schema,native,1,99d1c7fab316,27,9
java,bytes,message,100,1,jackson-cbor,2.18.3,64196,65892,115,130088,15577.294535,15176.349177,7687.104114,0,1.0,reflect,native,1,99d1c7fab316,28,10
java,bytes,message,100,1,bson,5.3.1,123743,90652,134,214395,8081.265203,11031.196223,4664.287880,0,1.0,message,adapted,1,99d1c7fab316,29,11
java,bytes,message,100,1,gson,2.12.1,60911,52086,158,112997,16417.395873,19199.017010,8849.792472,0,1.0,reflect,native,1,99d1c7fab316,30,12
java,bytes,message,100,1,jsoniter,0.9.23,25489,19700,150,45189,39232.610146,50761.421320,22129.279249,0,1.0,reflect,adapted,1,99d1c7fab316,31,13
java,bytes,message,100,1,jackson,2.18.3,65432,74060,158,139492,15283.041937,13502.565487,7168.869899,0,1.0,reflect,native,1,99d1c7fab316,32,14
java,bytes,message,100,1,java-serialization,21.0.11,61922,116778,206,178700,16149.349181,8563.256778,5595.970901,0,1.0,message,native,1,99d1c7fab316,33,15
java,bytes,message,100,1,moshi,1.15.2,63985,85675,158,149660,15628.662968,11672.016341,6681.812107,0,1.0,reflect,native,1,99d1c7fab316,34,16
java,bytes,message,100,1,msgpack,0.9.8,73390,81137,114,154527,13625.834582,12324.833307,6471.360992,0,1.0,reflect,native,1,99d1c7fab316,35,17
java,bytes,message,100,2,bson,5.3.1,70538,136380,134,206918,14176.755791,7332.453439,4832.832330,0,1.0,message,adapted,1,99d1c7fab316,36,0
java,bytes,message,100,2,fory,1.3.0,22504,19819,133,42323,44436.544614,50456.632524,23627.814663,0,1.0,message,adapted,1,99d1c7fab316,37,1
java,bytes,message,100,2,java-serialization,21.0.11,55210,93265,206,148475,18112.660750,10722.135849,6735.140596,0,1.0,message,native,1,99d1c7fab316,38,2
java,bytes,message,100,2,fastjson2,2.0.57,30886,39396,158,70282,32377.128796,25383.287643,14228.394183,0,1.0,reflect,adapted,1,99d1c7fab316,39,3
java,bytes,message,100,2,kryo,5.6.2,29552,21048,46,50600,33838.657282,47510.452300,19762.845850,0,1.0,message,native,1,99d1c7fab316,40,4
java,bytes,message,100,2,jsoniter,0.9.23,19371,15876,150,35247,51623.560993,62988.158226,28371.208897,0,1.0,reflect,adapted,1,99d1c7fab316,41,5
