Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
javascript,bytes,message,100,0,bson,6.10.4,435992,448986,140,884978,2293.620066,2227.240938,1129.971593,0,1.00,1,99d1c7fab316,0,0
javascript,bytes,message,100,0,google-protobuf,3.21.4,11926,357071,52,368997,83850.410867,2800.563473,2710.049133,0,1.00,1,99d1c7fab316,1,1
javascript,bytes,message,100,0,flexbuffers,24.12.23,667394,429546,199,1096940,1498.365283,2328.039372,911.626889,0,1.00,1,99d1c7fab316,2,2
javascript,bytes,message,100,0,sia,2.3.0,156086,140226,162,296312,6406.724498,7131.345114,3374.821134,0,1.00,1,99d1c7fab316,3,3
javascript,bytes,message,100,0,flatbuffers,24.12.23,483411,185521,104,668932,2068.633109,5390.225365,1494.920261,0,1.00,1,99d1c7fab316,4,4
javascript,bytes,message,100,0,JSON.stringify,node-24.15.0,18772,22530,168,41302,53270.828894,44385.264092,24211.902571,0,1.00,1,99d1c7fab316,5,5
javascript,bytes,message,100,0,cbor,9.0.2,1497526,738255,124,2235781,667.768039,1354.545516,447.270998,0,1.00,1,99d1c7fab316,6,6
javascript,bytes,message,100,0,protobufjs,7.6.5,319666,597732,52,917398,3128.265127,1672.990571,1090.039438,0,1.00,1,99d1c7fab316,7,7
javascript,bytes,message,100,0,devalue,5.8.1,405582,207612,186,613194,2465.592655,4816.677263,1630.805259,0,1.00,1,99d1c7fab316,8,8
javascript,bytes,message,100,0,cbor-x,1.6.4,619633,520551,131,1140184,1613.858526,1921.041358,877.051423,0,1.00,1,99d1c7fab316,9,9
javascript,bytes,message,100,0,@msgpack/msgpack,3.1.3,371967,579652,124,951619,2688.410531,1725.173035,1050.840725,0,1.00,1,99d1c7fab316,10,10
javascript,bytes,message,100,0,bser,2.1.1,257624,304973,153,562597,3881.625935,3278.978795,1777.471263,0,1.00,1,99d1c7fab316,11,11
javascript,bytes,message,100,0,fast-json-stringify,6.4.0,143751,10569,168,154320,6956.473346,94616.330779,6480.041472,0,1.00,1,99d1c7fab316,12,12
javascript,bytes,message,100,0,v8-serializer,v8-13.6.233.17-node.48,33164,25576,135,58740,30153.178145,39099.155458,17024.174328,0,1.00,1,99d1c7fab316,13,13
javascript,bytes,message,100,0,protobuf-es,2.12.1,183473,168489,50,351962,5450.393246,5935.105556,2841.215813,0,1.00,1,99d1c7fab316,14,14
javascript,bytes,message,100,0,avsc,5.7.9,161046,139292,44,300338,6209.406008,7179.163197,3329.582004,0,1.00,1,99d1c7fab316,15,15
javascript,bytes,message,100,0,msgpackr,1.12.1,529297,432139,126,961436,1889.298447,2314.070241,1040.110834,0,1.00,1,99d1c7fab316,16,16
javascript,bytes,message,100,0,json-pack-msgpack,18.28.0,259084,339821,131,598905,3859.752050,2942.725729,1669.713895,0,1.00,1,99d1c7fab316,17,17
javascript,bytes,message,100,0,bebop,3.2.3,211140,125746,162,336886,4736.193995,7952.539246,2968.363185,0,1.00,1,99d1c7fab316,18,18
javascript,bytes,message,100,0,simdjson-parse+JSON.stringify,0.9.2,14344,98701,168,113045,69715.560513,10131.609609,8846.034765,0,1.00,1,99d1c7fab316,19,19
javascript,bytes,message,100,1,cbor,9.0.2,224743,168378,124,393121,4449.526793,5939.018162,2543.746073,0,1.00,1,99d1c7fab316,20,0
javascript,bytes,message,100,1,msgpackr,1.12.1,13795,27867,126,41662,72490.032621,35884.738221,24002.688301,0,1.00,1,99d1c7fab316,21,1
javascript,bytes,message,100,1,protobufjs,7.6.5,29667,56850,52,86517,33707.486433,17590.149516,11558.422044,0,1.00,1,99d1c7fab316,22,2
javascript,bytes,message,100,1,simdjson-parse+JSON.stringify,0.9.2,5901,19834,168,25735,169462.802915,50418.473329,38857.586944,0,1.00,1,99d1c7fab316,23,3
javascript,bytes,message,100,1,flatbuffers,24.12.23,59738,20445,104,80183,16739.763635,48911.714356,12471.471509,0,1.00,1,99d1c7fab316,24,4
javascript,bytes,message,100,1,v8-serializer,v8-13.6.233.17-node.48,11970,8183,135,20153,83542.188805,122204.570451,49620.403910,0,1.00,1,99d1c7fab316,25,5
javascript,bytes,message,100,1,google-protobuf,3.21.4,2398,51125,52,53523,417014.178482,19559.902200,18683.556602,0,1.00,1,99d1c7fab316,26,6
javascript,bytes,message,100,1,protobuf-es,2.12.1,45819,33899,50,79718,21825.007093,29499.395262,12544.218370,0,1.00,1,99d1c7fab316,27,7
javascript,bytes,message,100,1,sia,2.3.0,32415,22838,162,55253,30849.915163,43786.671337,18098.564784,0,1.00,1,99d1c7fab316,28,8
javascript,bytes,message,100,1,JSON.stringify,node-24.15.0,4956,5328,168,10284,201775.625504,187687.687688,97238.428627,0,1.00,1,99d1c7fab316,29,9
javascript,bytes,message,100,1,@msgpack/msgpack,3.1.3,39935,41983,124,81918,25040.691123,23819.164900,12207.329281,0,1.00,1,99d1c7fab316,30,10
javascript,bytes,message,100,1,json-pack-msgpack,18.28.0,32922,58151,131,91073,30374.825345,17196.608829,10980.202695,0,1.00,1,99d1c7fab316,31,11
javascript,bytes,message,100,1,flexbuffers,24.12.23,149717,82137,199,231854,6679.268219,12174.781158,4313.059080,0,1.00,1,99d1c7fab316,32,12
javascript,bytes,message,100,1,devalue,5.8.1,83896,19821,186,103717,11919.519405,50451.541295,9641.620949,0,1.00,1,99d1c7fab316,33,13
javascript,bytes,message,100,1,bebop,3.2.3,23077,19160,162,42237,43333.188889,52192.066806,23675.923953,0,1.00,1,99d1c7fab316,34,14
javascript,bytes,message,100,1,fast-json-stringify,6.4.0,9079,3024,168,12103,110144.289019,330687.830688,82624.142775,0,1.00,1,99d1c7fab316,35,15
javascript,bytes,message,100,1,cbor-x,1.6.4,28798,29501,131,58299,34724.633655,33897.156029,17152.952881,0,1.00,1,99d1c7fab316,36,16
javascript,bytes,message,100,1,bser,2.1.1,60305,204237,153,264542,16582.372938,4896.272468,3780.118091,0,1.00,1,99d1c7fab316,37,17
javascript,bytes,message,100,1,bson,6.10.4,47528,32422,140,79950,21040.228918,30843.254580,12507.817386,0,1.00,1,99d1c7fab316,38,18
