Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,SizeGzip,SizeZstd,NativeKind,StreamMode,RunOrder,SchedulePosition
python,bytes,message,100,0,msgpack,1.2.1,3730,5780,124,9510,268096.514745,173010.380623,105152.471083,521,1.00,1,99d1c7fab316,124,121,dict,,0,0
python,bytes,message,100,0,rapidjson,1.23,8360,14150,168,22510,119617.224880,70671.378092,44424.700133,1492,1.00,1,99d1c7fab316,138,134,dict,,1,1
python,bytes,message,100,0,serpyco-rs,1.21.0,5630,10200,168,15830,177619.893428,98039.215686,63171.193936,5466,1.00,1,99d1c7fab316,138,134,dataclass,,2,2
python,bytes,message,100,0,pydantic,2.13.4,12021,22363,168,34384,83187.754762,44716.719581,29083.294556,2329,1.00,1,99d1c7fab316,138,134,model,,3,3
python,bytes,message,100,0,msgspec-msgpack,0.21.1,1559,2680,52,4239,641436.818473,373134.328358,235904.694503,312,1.00,1,99d1c7fab316,72,61,struct,,4,4
python,bytes,message,100,0,avro,1.12.2,15155,18280,44,33435,65984.823491,54704.595186,29908.778226,1808,1.00,1,99d1c7fab316,64,53,dict,,5,5
python,bytes,message,100,0,dill,0.4.1,88903,16163,202,105066,11248.214346,61869.702407,9517.826890,10948,1.00,1,99d1c7fab316,194,193,dataclass,,6,6
python,bytes,message,100,0,json,python-3.14.0,12572,10773,168,23345,79541.839007,92824.654228,42835.724995,2329,1.00,1,99d1c7fab316,138,134,dict,,7,7
python,bytes,message,100,0,cbor2,6.1.3,12323,7772,124,20095,81149.070843,128667.009779,49763.622792,908,1.00,1,99d1c7fab316,122,123,dict,,8,8
python,bytes,message,100,0,flatbuffers,25.12.19,49161,16695,104,65856,20341.327475,59898.173106,15184.645287,1162,1.00,1,99d1c7fab316,102,107,dataclass,,9,9
python,bytes,message,100,0,protobuf,7.35.1,5788,5308,50,11096,172771.250864,188394.875659,90122.566691,187,1.00,1,99d1c7fab316,71,59,message,,10,10
