Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,NativeKind,StreamMode,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
swift,bytes,message,100,0,SwiftMsgpack,1.2.1,112848,77107,124,189955,8861.477386,12968.991142,5264.404727,0,1.00,codable,adapted,1,99d1c7fab316,0,0
swift,bytes,message,100,0,SwiftBSON,3.1.0,79268,155707,144,234975,12615.431195,6422.318842,4255.771891,0,1.00,document,adapted,1,99d1c7fab316,1,1
swift,bytes,message,100,0,FlatBuffers,24.3.25,2378,4689,120,7067,420521.446594,213265.088505,141502.759304,0,1.00,archive,adapted,1,99d1c7fab316,2,2
swift,bytes,message,100,0,Yams,5.4.0,14973442,521008,157,15494450,66.784912,1919.356325,64.539238,0,1.00,codable,adapted,1,99d1c7fab316,3,3
swift,bytes,message,100,0,BinaryCodable,4.0.0,334382,312134,122,646516,2990.591599,3203.752235,1546.752130,0,1.00,codable,adapted,1,99d1c7fab316,4,4
swift,bytes,message,100,0,XMLCoder,0.18.2,1193498,729774,254,1923272,837.873210,1370.287240,519.947257,0,1.00,codable,adapted,1,99d1c7fab316,5,5
swift,bytes,message,100,0,SwiftAvroCore,2.3.0,73305,30924,44,104229,13641.634268,32337.343164,9594.258796,0,1.00,schema,adapted,1,99d1c7fab316,6,6
swift,bytes,message,100,0,TOML,2.0.0,374541,87147,167,461688,2669.934667,11474.864310,2165.964894,0,1.00,codable,adapted,1,99d1c7fab316,7,7
swift,bytes,message,100,0,Foundation.PropertyListEncoder,Foundation,132303,114520,197,246823,7558.407595,8732.099197,4051.486288,0,1.00,codable,adapted,1,99d1c7fab316,8,8
swift,bytes,message,100,0,IkigaJSON,2.5.3,30292,79530,168,109822,33012.016374,12573.871495,9105.643678,0,1.00,codable,adapted,1,99d1c7fab316,9,9
swift,bytes,message,100,0,CapnProto,capnproto-1.0.2,24702,92640,96,117342,40482.552020,10794.473230,8522.097800,0,1.00,message,adapted,1,99d1c7fab316,10,10
swift,bytes,message,100,0,SwiftProtobuf,1.38.1,18085,13979,50,32064,55294.442908,71535.875241,31187.624750,0,1.00,message,adapted,1,99d1c7fab316,11,11
swift,bytes,message,100,0,SwiftCbor,0.0.4,94406,88460,124,182866,10592.547084,11304.544427,5468.485120,0,1.00,codable,adapted,1,99d1c7fab316,12,12
swift,bytes,message,100,0,Foundation.JSONEncoder,Foundation,45933,37590,168,83523,21770.840137,26602.819899,11972.750021,0,1.00,codable,adapted,1,99d1c7fab316,13,13
swift,bytes,message,100,1,FlatBuffers,24.3.25,3003,2760,120,5763,333000.333000,362318.840580,173520.735728,0,1.00,archive,adapted,1,99d1c7fab316,14,0
swift,bytes,message,100,1,XMLCoder,0.18.2,68084,91219,254,159303,14687.738676,10962.628400,6277.345687,0,1.00,codable,adapted,1,99d1c7fab316,15,1
swift,bytes,message,100,1,BinaryCodable,4.0.0,16913,12808,122,29721,59126.116005,78076.202374,33646.243397,0,1.00,codable,adapted,1,99d1c7fab316,16,2
swift,bytes,message,100,1,Foundation.JSONEncoder,Foundation,8839,11883,168,20722,113134.970019,84153.833207,48257.890165,0,1.00,codable,adapted,1,99d1c7fab316,17,3
swift,bytes,message,100,1,SwiftAvroCore,2.3.0,43217,12209,44,55426,23139.042506,81906.790073,18042.074117,0,1.00,schema,adapted,1,99d1c7fab316,18,4
swift,bytes,message,100,1,SwiftCbor,0.0.4,18671,12481,124,31152,53558.995233,80121.785113,32100.667694,0,1.00,codable,adapted,1,99d1c7fab316,19,5
swift,bytes,message,100,1,CapnProto,capnproto-1.0.2,10317,6151,96,16468,96927.401376,162575.191026,60723.828030,0,1.00,message,adapted,1,99d1c7fab316,20,6
swift,bytes,message,100,1,SwiftProtobuf,1.38.1,2010,2003,50,4013,497512.437811,499251.123315,249190.132071,0,1.00,message,adapted,1,99d1c7fab316,21,7
swift,bytes,message,100,1,IkigaJSON,2.5.3,12776,12846,168,25622,78271.759549,77845.243656,39028.959488,0,1.00,codable,adapted,1,99d1c7fab316,22,8
swift,bytes,message,100,1,TOML,2.0.0,42696,21420,167,64116,23421.397789,46685.340803,15596.730925,0,1.00,codable,adapted,1,99d1c7fab316,23,9
swift,bytes,message,100,1,SwiftBSON,3.1.0,16622,26723,144,43345,60161.232102,37420.948247,23070.711731,0,1.00,document,adapted,1,99d1c7fab316,24,10
swift,bytes,message,100,1,Foundation.PropertyListEncoder,Foundation,14258,20340,197,34598,70136.063964,49164.208456,28903.404821,0,1.00,codable,adapted,1,99d1c7fab316,25,11
swift,bytes,message,100,1,SwiftMsgpack,1.2.1,16907,12048,124,28955,59147.098835,83001.328021,34536.349508,0,1.00,codable,adapted,1,99d1c7fab316,26,12
swift,bytes,message,100,1,Yams,5.4.0,96030,67142,157,163172,10413.412475,14893.807155,6128.502439,0,1.00,codable,adapted,1,99d1c7fab316,27,13
swift,bytes,message,100,2,XMLCoder,0.18.2,61835,80743,254,142578,16172.070834,12384.974549,7013.704779,0,1.00,codable,adapted,1,99d1c7fab316,28,0
swift,bytes,message,100,2,SwiftProtobuf,1.38.1,1979,1839,50,3818,505305.709955,543773.790103,261917.234154,0,1.00,message,adapted,1,99d1c7fab316,29,1
swift,bytes,message,100,2,TOML,2.0.0,44800,21641,167,66441,22321.428571,46208.585555,15050.947457,0,1.00,codable,adapted,1,99d1c7fab316,30,2
swift,bytes,message,100,2,SwiftBSON,3.1.0,17944,23490,144,41434,55728.934463,42571.306939,24134.768548,0,1.00,document,adapted,1,99d1c7fab316,31,3
