Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,NativeKind,StreamMode,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
go,bytes,message,100,0,fxamacker/cbor,2.9.2,18216,12343,124,30559,54896.794027,81017.580815,32723.583887,0,1.0,reflect,native,1,99d1c7fab316,0,0
go,bytes,message,100,0,vmihailenco/msgpack,5.4.1,12798,12827,118,25625,78137.208939,77960.551961,39024.390244,0,1.0,reflect,native,1,99d1c7fab316,1,1
go,bytes,message,100,0,jsoniter,1.1.12,50456,33707,168,84163,19819.248454,29667.428131,11881.705738,0,1.0,reflect,native,1,99d1c7fab316,2,2
go,bytes,message,100,0,mongo-bson,1.17.9,33184,17353,144,50537,30135.004822,57626.923299,19787.482439,0,1.0,reflect,native,1,99d1c7fab316,3,3
go,bytes,message,100,0,protobuf,1.36.11,10394,2931,50,13325,96209.351549,341180.484476,75046.904315,0,1.0,message,adapted,1,99d1c7fab316,4,4
go,bytes,message,100,0,kelindar/binary,1.0.19,15253,5896,44,21149,65560.873271,169606.512890,47283.559506,0,1.0,reflect,native,1,99d1c7fab316,5,5
go,bytes,message,100,0,ugorji/cbor,1.3.2,28230,14208,124,42438,35423.308537,70382.882883,23563.787172,0,1.0,reflect,native,1,99d1c7fab316,6,6
go,bytes,message,100,0,goccy/go-json,0.10.6,180538,35441,168,215979,5539.000100,28215.908129,4630.079776,0,1.0,reflect,native,1,99d1c7fab316,7,7
go,bytes,message,100,0,pelletier/go-toml,2.4.3,21282,27494,157,48776,46988.065031,36371.571979,20501.886174,0,1.0,reflect,native,1,99d1c7fab316,8,8
go,bytes,message,100,0,ugorji/msgpack,1.3.2,6419,12460,124,18879,155787.505842,80256.821830,52968.907251,0,1.0,reflect,native,1,99d1c7fab316,9,9
