Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,NativeKind,StreamMode,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
java,bytes,message,100,0,java-serialization,21.0.11,3638814,1866442,206,5505256,274.814816,535.778771,181.644596,0,1.0,message,native,1,99d1c7fab316,0,0
java,bytes,message,100,0,dsl-json,2.0.2,5754249,1247100,158,7001349,173.784624,801.860316,142.829618,0,1.0,reflect,native,1,99d1c7fab316,1,1
java,bytes,message,100,0,kryo,5.6.2,119912,7050161,46,7170073,8339.448929,141.840732,139.468594,0,1.0,message,native,1,99d1c7fab316,2,2
java,bytes,message,100,0,jsoniter,0.9.23,34928814,10832272,150,45761086,28.629658,92.316737,21.852628,0,1.0,reflect,adapted,1,99d1c7fab316,3,3
java,bytes,message,100,0,bson,5.3.1,2137356,1975301,134,4112657,467.867777,506.251959,243.151812,0,1.0,message,adapted,1,99d1c7fab316,4,4
java,bytes,message,100,0,moshi,1.15.2,670494,2945028,158,3615522,1491.437656,339.555345,276.585234,0,1.0,reflect,native,1,99d1c7fab316,5,5
java,bytes,message,100,0,jackson,2.18.3,1529138,2083959,158,3613097,653.963213,479.855890,276.770870,0,1.0,reflect,native,1,99d1c7fab316,6,6
java,bytes,message,100,0,msgpack,0.9.8,1828244,2529258,114,4357502,546.972942,395.372872,229.489281,0,1.0,reflect,native,1,99d1c7fab316,7,7
java,bytes,message,100,0,hessian,4.0.66,1360102,1623745,143,2983847,735.238975,615.860249,335.137827,0,1.0,message,native,1,99d1c7fab316,8,8
java,bytes,message,100,0,protostuff,1.8.0,1617732,616761,52,2234493,618.149360,1621.373595,447.528813,0,1.0,schema,native,1,99d1c7fab316,9,9
java,bytes,message,100,0,fory,1.3.0,34338,36885,133,71223,29122.255227,27111.291853,14040.408295,0,1.0,message,adapted,1,99d1c7fab316,10,10
