Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,SizeGzip,SizeZstd,NativeKind,StreamMode,RunOrder,SchedulePosition
python,bytes,message,100,0,msgpack,1.2.1,3877,5279,124,9156,257931.390250,189429.816253,109217.999126,521,1.00,1,99d1c7fab316,124,121,dict,,0,0
python,bytes,message,100,0,rapidjson,1.23,7527,13344,168,20871,132855.055135,74940.047962,47913.372622,1492,1.00,1,99d1c7fab316,138,134,dict,,1,1
python,bytes,message,100,0,serpyco-rs,1.21.0,4745,10050,168,14795,210748.155954,99502.487562,67590.402163,5466,1.00,1,99d1c7fab316,138,134,dataclass,,2,2
python,bytes,message,100,0,pydantic,2.13.4,11937,21471,168,33408,83773.142331,46574.449257,29932.950192,2329,1.00,1,99d1c7fab316,138,134,model,,3,3
python,bytes,message,100,0,msgspec-msgpack,0.21.1,1867,2705,52,4572,535618.639529,369685.767098,218722.659668,312,1.00,1,99d1c7fab316,72,61,struct,,4,4
python,bytes,message,100,0,avro,1.12.2,15079,18361,44,33440,66317.395053,54463.264528,29904.306220,1808,1.00,1,99d1c7fab316,64,53,dict,,5,5
python,bytes,message,100,0,dill,0.4.1,85735,21330,202,107065,11663.847903,46882.325363,9340.120488,10948,1.00,1,99d1c7fab316,194,193,dataclass,,6,6
python,bytes,message,100,0,json,python-3.14.0,13985,13742,168,27727,71505.184126,72769.611410,36065.928517,2329,1.00,1,99d1c7fab316,138,134,dict,,7,7
python,bytes,message,100,0,cbor2,6.1.3,13876,11718,124,25594,72066.878063,85338.795016,39071.657420,908,1.00,1,99d1c7fab316,122,123,dict,,8,8
python,bytes,message,100,0,flatbuffers,25.12.19,52379,17260,104,69639,19091.620688,57937.427578,14359.769669,1162,1.00,1,99d1c7fab316,102,107,dataclass,,9,9
python,bytes,message,100,0,protobuf,7.35.1,6177,6264,50,12441,161890.885543,159642.401022,80379.390724,187,1.00,1,99d1c7fab316,71,59,message,,10,10
python,bytes,message,100,0,orjson,3.11.9,3171,4031,168,7202,315357.931252,248077.400149,138850.319356,5466,1.00,1,99d1c7fab316,138,134,dict,,11,11
python,bytes,message,100,0,mashumaro,3.22,4079,8077,168,12156,245158.126992,123808.344682,82263.902600,5466,1.00,1,99d1c7fab316,138,134,dataclass,,12,12
python,bytes,message,100,0,msgspec,0.21.1,2956,3133,80,6089,338294.993234,319182.891797,164230.579734,351,1.00,1,99d1c7fab316,97,89,struct,,13,13
python,bytes,message,100,0,pickle,python-3.14.0,10538,6747,202,17285,94894.666920,148214.021046,57853.630315,4969,1.00,1,99d1c7fab316,194,193,dataclass,,14,14
python,bytes,message,100,0,cloudpickle,3.1.2,24728,4762,202,29490,40439.987059,209995.800084,33909.799932,8946,1.00,1,99d1c7fab316,194,193,dataclass,,15,15
python,bytes,message,100,1,orjson,3.11.9,2820,2049,168,4869,354609.929078,488042.947779,205380.981721,5466,1.00,1,99d1c7fab316,138,134,dict,,16,0
python,bytes,message,100,1,flatbuffers,25.12.19,42391,10531,104,52922,23589.912953,94957.743804,18895.733343,1162,1.00,1,99d1c7fab316,102,107,dataclass,,17,1
python,bytes,message,100,1,cloudpickle,3.1.2,12728,4281,202,17009,78566.939032,233590.282644,58792.404021,8946,1.00,1,99d1c7fab316,194,193,dataclass,,18,2
python,bytes,message,100,1,msgpack,1.2.1,3022,4250,124,7272,330906.684315,235294.117647,137513.751375,521,1.00,1,99d1c7fab316,124,121,dict,,19,3
python,bytes,message,100,1,json,python-3.14.0,13715,9701,168,23416,72912.869121,103082.156479,42705.842159,2329,1.00,1,99d1c7fab316,138,134,dict,,20,4
python,bytes,message,100,1,avro,1.12.2,12670,7224,44,19894,78926.598264,138427.464009,50266.411984,1808,1.00,1,99d1c7fab316,64,53,dict,,21,5
python,bytes,message,100,1,protobuf,7.35.1,3060,2825,50,5885,326797.385621,353982.300885,169923.534410,187,1.00,1,99d1c7fab316,71,59,message,,22,6
python,bytes,message,100,1,mashumaro,3.22,1968,3913,168,5881,508130.081301,255558.395093,170039.108995,5466,1.00,1,99d1c7fab316,138,134,dataclass,,23,7
python,bytes,message,100,1,rapidjson,1.23,5496,5623,168,11119,181950.509461,177841.010137,89936.145337,1492,1.00,1,99d1c7fab316,138,134,dict,,24,8
python,bytes,message,100,1,pydantic,2.13.4,9714,14247,168,23961,102944.204241,70190.215484,41734.485205,2329,1.00,1,99d1c7fab316,138,134,model,,25,9
python,bytes,message,100,1,pickle,python-3.14.0,5029,4139,202,9168,198846.689203,241604.252235,109075.043630,4969,1.00,1,99d1c7fab316,194,193,dataclass,,26,10
python,bytes,message,100,1,dill,0.4.1,66601,10698,202,77299,15014.789568,93475.415966,12936.777966,10948,1.00,1,99d1c7fab316,194,193,dataclass,,27,11
python,bytes,message,100,1,msgspec,0.21.1,1987,1891,80,3878,503271.263211,528820.729773,257864.878804,351,1.00,1,99d1c7fab316,97,89,struct,,28,12
python,bytes,message,100,1,serpyco-rs,1.21.0,3020,3373,168,6393,331125.827815,296471.983398,156421.085562,5466,1.00,1,99d1c7fab316,138,134,dataclass,,29,13
python,bytes,message,100,1,msgspec-msgpack,0.21.1,899,1083,52,1982,1112347.052280,923361.034164,504540.867810,312,1.00,1,99d1c7fab316,72,61,struct,,30,14
python,bytes,message,100,1,cbor2,6.1.3,10212,6749,124,16961,97924.010967,148170.099274,58958.787807,908,1.00,1,99d1c7fab316,122,123,dict,,31,15
python,bytes,message,100,2,dill,0.4.1,49685,7830,202,57515,20126.798833,127713.920817,17386.768669,10948,1.00,1,99d1c7fab316,194,193,dataclass,,32,0
