StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser
string,Person,1,0,MS Binary,2624997,1499459,2512,4124456,3,6,2
string,Person,1,0,MS Bond Compact,80684053,358332,868,81042385,0,27,0
string,Person,1,0,MS Bond Fast,37324583,261968,1072,37586551,0,38,0
string,Person,1,0,MS Bond Json,48809156,9057529,1141,57866685,0,1,0
string,Person,1,0,MS DataContract,13332826,8729956,2876,22062782,0,1,0
string,Person,1,0,MS DataContract Json,4276646,7517746,1556,11794392,2,1,0
string,Person,1,0,MS XmlSerializer,19932738,4662772,2681,24595510,0,2,0
string,Person,1,0,fastJson,10094430,13924197,1828,24018627,0,0,0
string,Person,1,0,Jil,154742978,79452150,1170,234195128,0,0,0
string,Person,1,0,Json.Net (Helper),36973039,16271611,1408,53244650,0,0,0
string,Person,1,0,Json.Net,154113,130059,1408,284172,64,76,35
string,Person,1,0,FsPickler,98241337,12028760,1196,110270097,0,0,0
string,Person,1,0,FsPicklerJson,3124968,5102362,1960,8227330,3,1,1
string,Person,1,0,NetJSON,33926098,6327394,1151,40253492,0,1,0
string,Person,1,0,ProtoBuf,47569389,4063563,892,51632952,0,2,0
string,Person,1,0,ServiceStack Json,33648765,25333200,1170,58981965,0,0,0
string,Person,1,0,ServiceStack Type,13938867,12967561,1027,26906428,0,0,0
string,Person,1,0,Ceras,48431061,4557249,864,52988310,0,2,0
string,Person,1,0,Hyperion,31214836,9971553,1424,41186389,0,1,0
string,Person,1,0,NetSerializer,2929602,3569867,840,6499469,3,2,1
string,Person,1,0,SpanJson,59109275,4049921,1175,63159196,0,2,0
string,Person,1,0,Utf8Json,56038597,13236813,1175,69275410,0,0,0
string,Person,1,0,YamlDotNet,48589265,36537719,1117,85126984,0,0,0
string,Person,1,0,YAXLib,26769466,6611734,2533,33381200,0,1,0
string,Person,1,0,SharpYaml,22046621,21724840,1281,43771461,0,0,0
string,Person,1,0,Apex.Serialization,630611283,7744153,1864,638355436,0,1,0
Stream,Person,1,0,MS Binary,192639,188096,1884,380735,51,53,26
Stream,Person,1,0,MS Bond Compact,322492,1027376,650,1349868,31,9,7
Stream,Person,1,0,MS Bond Fast,133739,90257,802,223996,74,110,44
Stream,Person,1,0,MS Bond Json,238008,163949,1141,401957,42,60,24
Stream,Person,1,0,MS DataContract,186470,238017,2155,424487,53,42,23
Stream,Person,1,0,MS DataContract Json,139331,207223,1165,346554,71,48,28
Stream,Person,1,0,MS XmlSerializer,258963,244902,2680,503865,38,40,19
Stream,Person,1,0,fastJson,122003,123208,1828,245211,81,81,40
Stream,Person,1,0,Jil,132696,71230,1170,203926,75,140,49
Stream,Person,1,0,Json.Net (Helper),150526,136615,1408,287141,66,73,34
Stream,Person,1,0,Json.Net,86471,86160,1417,172631,115,116,57
Stream,Person,1,0,FsPickler,301814,182016,897,483830,33,54,20
Stream,Person,1,0,FsPicklerJson,268984,102790,1468,371774,37,97,26
Stream,Person,1,0,NetJSON,81063,77319,1151,158382,123,129,63
Stream,Person,1,0,ProtoBuf,75397,59057,669,134454,132,169,74
Stream,Person,1,0,ServiceStack Json,354282,1641902,1170,1996184,28,6,5
Stream,Person,1,0,ServiceStack Type,218937,262713,1027,481650,45,38,20
Stream,Person,1,0,Ceras,104729,414165,647,518894,95,24,19
Stream,Person,1,0,Hyperion,58268,353898,1067,412166,171,28,24
Stream,Person,1,0,NetSerializer,38896,30820,629,69716,257,324,143
Stream,Person,1,0,SpanJson,46909444,3367085,1175,50276529,0,2,0
Stream,Person,1,0,Utf8Json,271899,334116,1175,606015,36,29,16
Stream,Person,1,0,YamlDotNet,778316,751693,1120,1530009,12,13,6
Stream,Person,1,0,YAXLib,785256,862587,2536,1647843,12,11,6
Stream,Person,1,0,SharpYaml,340324,475174,1284,815498,29,21,12
Stream,Person,1,0,Apex.Serialization,65957,41813,1398,107770,151,239,92
string,Integer,1,0,MS Binary,189744,78713,72,268457,52,127,37
string,Integer,1,0,MS Bond Compact,3514111,7005,4,3521116,2,1427,2
string,Integer,1,0,MS Bond Fast,1178177,6663,4,1184840,8,1500,8
string,Integer,1,0,MS Bond Json,1473956,10968,2,1484924,6,911,6
string,Integer,1,0,MS DataContract,48377,30395,108,78772,206,329,126
string,Integer,1,0,MS DataContract Json,20650,16458,16,37108,484,607,269
string,Integer,1,0,MS XmlSerializer,1665736,266037,61,1931773,6,37,5
string,Integer,1,0,fastJson,13797,1242588,10,1256385,724,8,7
string,Integer,1,0,Jil,2859754,3800566,10,6660320,3,2,1
string,Integer,1,0,Json.Net (Helper),36952,139255,10,176207,270,71,56
string,Integer,1,0,Json.Net,8915,4629,10,13544,1121,2160,738
string,Integer,1,0,FsPickler,151692,816108,160,967800,65,12,10
string,Integer,1,0,FsPicklerJson,29625,41276,360,70901,337,242,141
string,Integer,1,0,NetJSON,1653305,226531,10,1879836,6,44,5
string,Integer,1,0,ProtoBuf,1430443,1055640,8,2486083,6,9,4
string,Integer,1,0,SharpSerializer,4618526,2098494,208,6717020,2,4,1
string,Integer,1,0,ServiceStack Json,26430,9012,10,35442,378,1109,282
string,Integer,1,0,ServiceStack Type,4748,6574,10,11322,2106,1521,883
string,Integer,1,0,Ceras,1223456,559450,28,1782906,8,17,5
string,Integer,1,0,CsvHelper,14503072,15401534,12,29904606,0,0,0
string,Integer,1,0,Hyperion,102516,39018,8,141534,97,256,70
string,Integer,1,0,NetSerializer,145174,94235,8,239409,68,106,41
string,Integer,1,0,SpanJson,460868,570887,10,1031755,21,17,9
string,Integer,1,0,Utf8Json,346612,431705,10,778317,28,23,12
string,Integer,1,0,YamlDotNet,137679,172243,11,309922,72,58,32
string,Integer,1,0,YAXLib,204048,85049,25,289097,49,117,34
string,Integer,1,0,MemoryPack,13614140,948048,8,14562188,0,10,0
